"outer_sum_original","outer_sum_radiusPenalty","det_rate","time_vector"
1.5,1.5,0,1.78
1,1,0,0.5
1.5,1.5,0,0.51
1.5,1.5,0,0.48
1.5,1.5,0,1.17
2,2,0,0.5
1.5,1.5,0,0.58
1,1,0,1.3
2,2,0,0.76
1.5,1.5,0,0.67
1.5,1.5,0,0.619999999999999
1.5,1.5,0,1.05
1.5,1.5,0,1.06
1,1,0,0.890000000000001
2,2,0,1.16
1,1,0,0.640000000000001
1,1,0,0.77
2,2,0,0.580000000000002
1.5,1.5,0,0.91
1.5,1.5,0,0.809999999999999
1.5,1.5,0,1.23
1,1,0,0.75
2,2,0,0.82
1.5,1.5,0,0.890000000000001
1,1,0,1.16
2,2,0,0.969999999999999
1.5,1.5,0,0.700000000000003
1.5,1.5,0,0.609999999999999
2,2,0,0.920000000000002
1,1,0,0.640000000000001
2,2,0,1.34
2,2,0,0.390000000000001
2,2,0,0.420000000000002
1.5,1.5,0,0.759999999999998
1.5,1.5,0,0.600000000000001
1.5,1.5,0,1.13999999999999
1.5,1.5,0,1
2,2,0,0.469999999999999
1,1,0,0.43
1.5,1.5,0,0.579999999999998
1.5,1.5,0,0.969999999999999
1.5,1.5,0,0.639999999999993
1.5,1.5,0,0.609999999999999
1.5,1.5,0,0.530000000000001
1,1,0,0.809999999999995
1.5,1.5,0,1.16
1,1,0,0.529999999999994
1,1,0,0.340000000000003
1.5,1.5,0,1.1
1.5,1.5,0,0.640000000000001
1,1,0,0.920000000000002
1,1,0,0.890000000000001
1.5,1.5,0,0.659999999999997
1.5,1.5,0,0.449999999999996
1.5,1.5,0,0.560000000000002
1.5,1.5,0,0.579999999999998
1,1,0,0.579999999999998
1.5,1.5,0,0.57
1,1,0,0.660000000000004
1.5,1.5,0,0.520000000000003
2,2,0,0.899999999999999
1.5,1.5,0,0.780000000000001
1,1,0,0.640000000000001
1.5,1.5,0,0.560000000000002
1.5,1.5,0,0.640000000000001
1,1,0,1.3
1,1,0,1.32
1.5,1.5,0,0.989999999999995
0.5,0.5,0.5,0.859999999999999
1.5,1.5,0,0.709999999999994
2,2,0,0.459999999999994
1,1,0,0.670000000000002
2,2,0,0.969999999999999
1.5,1.5,0,0.72999999999999
1,1,0.5,1.02
1.5,1.5,0,1.41
3.5,3.5,0,1.23
1.5,1.5,0,0.760000000000005
2,2,0,0.530000000000001
1.5,1.5,0,0.429999999999993
1,1,0,0.890000000000001
1,1,0,0.670000000000002
1,1,0.5,0.620000000000005
1.5,1.5,0,1.43000000000001
1,1,0,0.620000000000005
1,1,0,0.790000000000006
1,1,0,0.829999999999998
1,1,0,0.569999999999993
1,1,0,0.569999999999993
1.5,1.5,0,0.780000000000001
2.5,2.5,0,0.840000000000003
1.5,1.5,0,0.75
1,1,0,0.730000000000004
3,3,0,1.16
1.5,1.5,0,0.560000000000002
1.5,1.5,0,0.640000000000001
2,2,0,0.579999999999998
1,1,0,0.879999999999995
1.5,1.5,0,0.5
1.5,1.5,0,0.670000000000002
