"outer_sum_original","outer_sum_radiusPenalty","det_rate","time_vector"
1,1,0,0.0499999999999545
1,1,0.25,0.0900000000000318
1,1,0,0.160000000000082
1,1,0.25,0.110000000000014
1,1,0.5,0.07000000000005
1,1,0.5,0.0800000000000409
0.75,0.75,0.5,0.110000000000014
1,1,0.25,0.07000000000005
1,1,0.25,0.0299999999999727
1,1,0.25,0.0900000000000318
1.5,1.5,0,0.0799999999999272
0.75,0.75,0.25,0.0900000000000318
1.25,1.25,0,0.0500000000000682
1,1,0.25,0.0500000000000682
1,1,0.5,0.07000000000005
0.75,0.75,0.5,0.0800000000000409
1,1,0,0.0299999999999727
1.5,1.5,0.25,0.0800000000000409
1.5,1.5,0,0.0399999999999636
1,1,0.25,0.0599999999999454
1.25,1.25,0,0.0600000000000591
1,1,0.25,0.0600000000000591
0.75,0.75,0.25,0.07000000000005
1,1,0.25,0.0599999999999454
1.25,1.25,0.25,0.0900000000000318
1.25,1.25,0.25,0.0899999999999181
2,2,0.25,0.0799999999999272
1,1,0.25,0.0600000000000591
1,1,0.5,0.0600000000000591
0.5,0.5,0.75,0.0800000000000409
1,1,0,0.0499999999999545
1.25,1.25,0,0.0600000000000591
1,1,0,0.0699999999999363
1,1,0.25,0.0499999999999545
1.25,1.25,0.25,0.0699999999999363
1,1,0,0.0500000000000682
1.25,1.25,0,0.0799999999999272
1.25,1.25,0.25,0.0800000000000409
1,1,0.25,0.0599999999999454
1.25,1.25,0,0.0299999999999727
0,0,1,0.0399999999999636
1.5,1.5,0.25,0.110000000000014
0.5,0.5,0.5,0.07000000000005
1,1,0.5,0.0600000000000591
1.5,1.5,0,0.0800000000000409
1.25,1.25,0,0.0799999999999272
0.5,0.5,0.5,0.0599999999999454
0.75,0.75,0.25,0.0400000000000773
1,1,0.25,0.0600000000000591
0.5,0.5,0.5,0.0800000000000409
1,1,0.25,0.0799999999999272
1,1,0.25,0.0599999999999454
1,1,0.25,0.0600000000000591
1.25,1.25,0.25,0.0599999999999454
1.25,1.25,0.25,0.0599999999999454
0.75,0.75,0.5,0.0800000000000409
1,1,0.25,0.0300000000000864
0.75,0.75,0.25,0.07000000000005
1,1,0.25,0.0900000000000318
0.75,0.75,0.25,0.0800000000000409
2.25,2.25,0.25,0.0799999999999272
1,1,0.25,0.0599999999999454
0.5,0.5,0.75,0.0500000000000682
1,1,0.25,0.0499999999999545
1.75,1.75,0.25,0.120000000000005
1,1,0.25,0.0900000000000318
1.25,1.25,0.25,0.0899999999999181
1.5,1.5,0.25,0.0599999999999454
1,1,0.25,0.0800000000000409
1,1,0.25,0.0900000000000318
1.25,1.25,0.25,0.0499999999999545
1.25,1.25,0.25,0.0800000000000409
1,1,0.25,0.1099999999999
0.75,0.75,0.25,0.170000000000073
0.75,0.75,0.25,0.120000000000005
1,1,0.25,0.0799999999999272
1,1,0.5,0.0600000000000591
0.75,0.75,0.25,0.0800000000000409
1,1,0,0.0500000000000682
1,1,0,0.0799999999999272
1.25,1.25,0.25,0.1099999999999
0.75,0.75,0.5,0.07000000000005
1,1,0.25,0.0499999999999545
1,1,0.5,0.0800000000000409
0.75,0.75,0.25,0.0500000000000682
1.5,1.5,0.5,0.0799999999999272
1.25,1.25,0.25,0.0600000000000591
0.75,0.75,0.25,0.100000000000023
0.75,0.75,0.5,0.0600000000000591
1,1,0,0.0999999999999091
0.75,0.75,0.25,0.0800000000000409
1.25,1.25,0.25,0.110000000000014
1.25,1.25,0,0.07000000000005
0.75,0.75,0.25,0.0699999999999363
1.5,1.5,0,0.0800000000000409
1.75,1.75,0.25,0.0699999999999363
1,1,0.25,0.0800000000000409
1,1,0.25,0.0600000000000591
1.25,1.25,0,0.0699999999999363
1.25,1.25,0,0.07000000000005
