"","outer_sum_original","outer_sum_radiusPenalty","seeds_no","f1","prec","rec","mcc","det_rate","time_vector","TP","TN","FP","FN","TPR","FPR","PPV","aucroc","aucpr","negf1","AR"
"1",NA,NA,10,0,0,0,-0.0326797385620915,0,3.65,0,296,10,10,0,0.0326797385620915,0,0.483660130718954,0.5,0.967320261437909,0
"2",NA,NA,5,0,0,0,-0.0241754738514862,0,2.68,0,285,5,10,0,0.0172413793103448,0,0.491379310344828,0.5,0.974358974358974,0
"3",NA,NA,10,0,0,0,-0.0334448160535117,0,3,0,289,10,10,0,0.0334448160535117,0,0.483277591973244,0.5,0.966555183946488,0
"4",NA,NA,5,0,0,0,-0.0309474444918507,0,2.2,0,221,5,10,0,0.0221238938053097,0,0.488938053097345,0.5,0.967177242888403,0
"5",NA,NA,11,0,0,0,-0.0473504072378525,0,1.15,0,211,11,10,0,0.0495495495495495,0,0.475225225225225,0.5,0.952595936794582,0
"6",NA,NA,10,0,0,0,-0.0434782608695652,0,1.9,0,220,10,10,0,0.0434782608695652,0,0.478260869565217,0.5,0.956521739130435,0
"7",NA,NA,11,0,0,0,-0.0443471962835062,0,1.42,0,226,11,10,0,0.0464135021097046,0,0.476793248945148,0.5,0.955602536997886,0
"8",NA,NA,11,0.0952380952380952,0.0909090909090909,0.1,0.0547170363498923,0.1,1.62,1,224,10,9,0.1,0.0427350427350427,0.0909090909090909,0.528632478632479,0.495454545454545,0.9593147751606,0.173274028234384
"9",NA,NA,11,0.0952380952380952,0.0909090909090909,0.1,0.062348256646175,0.1,2.34,1,278,10,9,0.1,0.0347222222222222,0.0909090909090909,0.532638888888889,0.495454545454545,0.96695652173913,0.1733977857477
"10",NA,NA,6,0,0,0,-0.0306174258149522,0,2,0,245,6,10,0,0.0239043824701195,0,0.48804780876494,0.5,0.968379446640316,0
"11",NA,NA,5,0.133333333333333,0.2,0.1,0.114415510709471,0.1,1.39,1,216,4,9,0.1,0.0181818181818182,0.2,0.540909090909091,0.55,0.970786516853932,0.234464043419267
"12",NA,NA,10,0,0,0,-0.0432900432900433,0,1.13,0,221,10,10,0,0.0432900432900433,0,0.478354978354978,0.5,0.956709956709957,0
"13",NA,NA,11,0,0,0,-0.0428961571054197,0,1.75,0,234,11,10,0,0.0448979591836735,0,0.477551020408163,0.5,0.957055214723926,0
"14",NA,NA,7,0,0,0,-0.0307035854099904,0,1.85,0,264,7,10,0,0.025830258302583,0,0.487084870848708,0.5,0.968807339449541,0
