"","outer_sum_original","outer_sum_radiusPenalty","seeds_no","f1","prec","rec","mcc","det_rate","time_vector","TP","TN","FP","FN","TPR","FPR","PPV","aucroc","aucpr","negf1","AR"
"1",1,1,2,0,0,0,-0.0170940170940171,0,0.32,0,115,2,2,0,0.0170940170940171,0,0.491452991452991,0.5,0.982905982905983,0
"2",1.5,3.5,3,0,0,0,-0.0186274330762936,0,0.529999999999999,0,129,3,2,0,0.0227272727272727,0,0.488636363636364,0.5,0.980988593155893,0
"3",1.5,1.5,2,0,0,0,-0.0153846153846154,0,0.340000000000002,0,128,2,2,0,0.0153846153846154,0,0.492307692307692,0.5,0.984615384615385,0
"4",2,4,3,0,0,0,-0.0193637065371959,0,0.350000000000001,0,124,3,2,0,0.0236220472440945,0,0.488188976377953,0.5,0.980237154150198,0
"5",1,7,4,0.333333333333333,0.25,0.5,0.343737767712906,0.5,1.41,1,178,3,1,0.5,0.0165745856353591,0.25,0.74171270718232,0.375,0.988888888888889,0.49859943977591
"6",1,3,1,0,0,0,-0.0107545535009099,0,0.35,0,130,1,2,0,0.00763358778625954,0,0.49618320610687,0.5,0.988593155893536,0
"7",2,4,3,0,0,0,-0.0217734572056256,0,0.270000000000001,0,110,3,2,0,0.0265486725663717,0,0.486725663716814,0.5,0.977777777777778,0
"8",2,5,3,0,0,0,-0.0178145886393985,0,0.369999999999999,0,135,3,2,0,0.0217391304347826,0,0.489130434782609,0.5,0.981818181818182,0
"9",1.5,4.5,1,0,0,0,-0.00875678229154556,0,0.450000000000001,0,160,1,2,0,0.0062111801242236,0,0.496894409937888,0.5,0.990712074303405,0
"10",1,3,3,0.4,0.333333333333333,0.5,0.395551139235531,0.5,0.289999999999999,1,111,2,1,0.5,0.0176991150442478,0.333333333333333,0.741150442477876,0.416666666666667,0.986666666666667,0.569230769230769
"11",2,5,3,0,0,0,-0.0176859617681917,0,0.550000000000001,0,136,3,2,0,0.0215827338129496,0,0.489208633093525,0.5,0.981949458483755,0
"12",1.5,1.5,2,0,0,0,-0.0133333333333333,0,0.719999999999999,0,148,2,2,0,0.0133333333333333,0,0.493333333333333,0.5,0.986666666666667,0
"13",2,8,4,0,0,0,-0.0191114303454472,0,0.43,0,145,4,2,0,0.0268456375838926,0,0.486577181208054,0.5,0.97972972972973,0
"14",2,2,2,0,0,0,-0.0116959064327485,0,0.77,0,169,2,2,0,0.0116959064327485,0,0.494152046783626,0.5,0.988304093567251,0
"15",2.5,8.5,4,0,0,0,-0.0187317162316339,0,0.449999999999999,0,148,4,2,0,0.0263157894736842,0,0.486842105263158,0.5,0.980132450331126,0
"16",1.5,5.5,4,0,0,0,-0.0259499648053841,0,0.300000000000001,0,106,4,2,0,0.0363636363636364,0,0.481818181818182,0.5,0.972477064220183,0
"17",1.5,3.5,3,0,0,0,-0.0154542708563045,0,1.14,0,156,3,2,0,0.0188679245283019,0,0.490566037735849,0.5,0.984227129337539,0
"18",2,2,2,0,0,0,-0.0161290322580645,0,0.550000000000001,0,122,2,2,0,0.0161290322580645,0,0.491935483870968,0.5,0.983870967741935,0
"19",1.5,7.5,4,0,0,0,-0.0156269076979498,0,1.37,0,178,4,2,0,0.021978021978022,0,0.489010989010989,0.5,0.983425414364641,0
"20",1,3,1,0,0,0,-0.00864966468062412,0,0.52,0,162,1,2,0,0.00613496932515337,0,0.496932515337423,0.5,0.990825688073395,0
"21",1,1,2,0,0,0,-0.0120481927710843,0,1.03,0,164,2,2,0,0.0120481927710843,0,0.493975903614458,0.5,0.987951807228916,0
"22",2,6,4,0,0,0,-0.0176780148067623,0,0.529999999999998,0,157,4,2,0,0.0248447204968944,0,0.487577639751553,0.5,0.98125,0
"23",1.5,1.5,2,0,0,0,-0.0136054421768707,0,0.550000000000001,0,145,2,2,0,0.0136054421768707,0,0.493197278911565,0.5,0.986394557823129,0
"24",1.5,5.5,4,0,0,0,-0.0180158248443725,0,0.800000000000001,0,154,4,2,0,0.0253164556962025,0,0.487341772151899,0.5,0.980891719745223,0
"25",2,2,2,0,0,0,-0.0110497237569061,0,0.690000000000001,0,179,2,2,0,0.0110497237569061,0,0.494475138121547,0.5,0.988950276243094,0
"26",1.5,4.5,1,0,0,0,-0.00762382048370763,0,0.669999999999998,0,184,1,2,0,0.00540540540540541,0,0.497297297297297,0.5,0.991913746630728,0
"27",0.5,2.5,1,0,0,0,-0.0100656406946462,0,0.390000000000001,0,139,1,2,0,0.00714285714285714,0,0.496428571428571,0.5,0.98932384341637,0
"28",1.5,1.5,2,0,0,0,-0.0152671755725191,0,0.59,0,129,2,2,0,0.0152671755725191,0,0.49236641221374,0.5,0.984732824427481,0
"29",2.5,5.5,3,0,0,0,-0.0135706323587039,0,1.17,0,178,3,2,0,0.0165745856353591,0,0.49171270718232,0.5,0.986149584487535,0
"30",1,3,1,0,0,0,-0.00958794364591463,0,0.43,0,146,1,2,0,0.00680272108843537,0,0.496598639455782,0.5,0.989830508474576,0
"31",2.5,8.5,4,0,0,0,-0.0158902907907117,0,0.759999999999998,0,175,4,2,0,0.0223463687150838,0,0.488826815642458,0.5,0.98314606741573,0
"32",0.5,2.5,1,0,0,0,-0.014213381090374,0,0.299999999999997,0,98,1,2,0,0.0101010101010101,0,0.494949494949495,0.5,0.984924623115578,0
"33",2.5,5.5,3,0,0,0,-0.0253836541283405,0,0.390000000000001,0,94,3,2,0,0.0309278350515464,0,0.484536082474227,0.5,0.974093264248705,0
"34",1.5,3.5,3,0,0,0,-0.0173109896482304,0,0.469999999999999,0,139,3,2,0,0.0211267605633803,0,0.48943661971831,0.5,0.982332155477032,0
"35",2,2,2,0,0,0,-0.0158730158730159,0,0.5,0,124,2,2,0,0.0158730158730159,0,0.492063492063492,0.5,0.984126984126984,0
"36",1.5,5.5,4,0,0,0,-0.023970582176554,0,0.670000000000002,0,115,4,2,0,0.0336134453781513,0,0.483193277310924,0.5,0.974576271186441,0
