"","outer_sum_original","outer_sum_radiusPenalty","seeds_no","f1","prec","rec","mcc","det_rate","time_vector","TP","TN","FP","FN","TPR","FPR","PPV","aucroc","aucpr","negf1","AR"
"1",0.8,2.8,4,0,0,0,-0.182574185835055,0,0.139999999999986,0,20,4,5,0,0.166666666666667,0,0.416666666666667,0.5,0.816326530612245,0
"2",0.4,6.4,2,0,0,0,-0.171498585142509,0,0.0299999999999727,0,15,2,5,0,0.117647058823529,0,0.441176470588235,0.5,0.810810810810811,0
"3",0.6,6.6,2,0,0,0,-0.0944911182523068,0,0.100000000000023,0,30,2,5,0,0.0625,0,0.46875,0.5,0.895522388059701,0
"4",0.4,9.4,2,0,0,0,-0.171498585142509,0,0.0299999999999727,0,15,2,5,0,0.117647058823529,0,0.441176470588235,0.5,0.810810810810811,0
"5",0.2,9.2,2,0.285714285714286,0.5,0.2,0.216540878711411,0.2,0.0300000000000864,1,18,1,4,0.2,0.0526315789473684,0.5,0.573684210526316,0.65,0.878048780487805,0.431137724550898
"6",0.6,2.6,4,0.222222222222222,0.25,0.2,0.013558153613666,0.2,0.0499999999999545,1,13,3,4,0.2,0.1875,0.25,0.50625,0.525,0.787878787878788,0.346666666666666
"7",0.4,6.4,2,0.285714285714286,0.5,0.2,0.192450089729875,0.2,0.0799999999999272,1,14,1,4,0.2,0.0666666666666667,0.5,0.566666666666667,0.65,0.848484848484849,0.427480916030535
"8",0.4,9.4,2,0,0,0,-0.162650012158089,0,0.0499999999999545,0,16,2,5,0,0.111111111111111,0,0.444444444444444,0.5,0.82051282051282,0
"9",0.8,2.8,4,0,0,0,-0.229415733870562,0,0.0400000000000773,0,15,4,5,0,0.210526315789474,0,0.394736842105263,0.5,0.769230769230769,0
"10",1,3,4,0,0,0,-0.27116307227332,0,0.0600000000000591,0,12,4,5,0,0.25,0,0.375,0.5,0.727272727272727,0
"11",0.4,6.4,2,0,0,0,-0.124225998749988,0,0.0699999999999363,0,22,2,5,0,0.0833333333333333,0,0.458333333333333,0.5,0.862745098039216,0
"12",0.6,6.6,2,0,0,0,-0.0974046509883157,0,0.149999999999977,0,29,2,5,0,0.0645161290322581,0,0.467741935483871,0.5,0.892307692307692,0
"13",0.4,6.4,2,0,0,0,-0.192450089729875,0,0.0300000000000864,0,13,2,5,0,0.133333333333333,0,0.433333333333333,0.5,0.787878787878788,0
"14",0.2,6.2,2,0.285714285714286,0.5,0.2,0.205798302171011,0.2,0.0600000000000591,1,16,1,4,0.2,0.0588235294117647,0.5,0.570588235294118,0.65,0.864864864864865,0.429530201342282
"15",0.4,6.4,2,0,0,0,-0.154672056222436,0,0.0499999999999545,0,17,2,5,0,0.105263157894737,0,0.447368421052632,0.5,0.829268292682927,0
"16",0.6,2.6,4,0.444444444444444,0.5,0.4,0.346890953086605,0.4,0.0900000000000318,2,22,2,3,0.4,0.0833333333333333,0.5,0.658333333333333,0.55,0.897959183673469,0.594594594594594
"17",0.4,6.4,2,0,0,0,-0.192450089729875,0,0.0499999999999545,0,13,2,5,0,0.133333333333333,0,0.433333333333333,0.5,0.787878787878788,0
"18",0.4,6.4,2,0,0,0,-0.147441956154897,0,0.0299999999999727,0,18,2,5,0,0.1,0,0.45,0.5,0.837209302325581,0
"19",0.6,3.6,4,0.222222222222222,0.25,0.2,0.013558153613666,0.2,0.0800000000000409,1,13,3,4,0.2,0.1875,0.25,0.50625,0.525,0.787878787878788,0.346666666666666
"20",0.4,6.4,2,0,0,0,-0.154672056222436,0,0.0299999999999727,0,17,2,5,0,0.105263157894737,0,0.447368421052632,0.5,0.829268292682927,0
"21",0.8,2.8,4,0,0,0,-0.27116307227332,0,0.07000000000005,0,12,4,5,0,0.25,0,0.375,0.5,0.727272727272727,0
"22",0,6,2,0.571428571428572,1,0.4,0.587753813645259,0.4,0.0499999999999545,2,19,0,3,0.4,0,1,0.7,0.8,0.926829268292683,0.706976744186047
"23",0.6,2.6,4,0.222222222222222,0.25,0.2,0.0255654996282457,0.2,0.0399999999999636,1,14,3,4,0.2,0.176470588235294,0.25,0.511764705882353,0.525,0.8,0.347826086956521
"24",0.2,6.2,2,0.285714285714286,0.5,0.2,0.211445015805516,0.2,0.0299999999999727,1,17,1,4,0.2,0.0555555555555556,0.5,0.572222222222222,0.65,0.871794871794872,0.430379746835443
"25",0.8,2.8,4,0,0,0,-0.255654996282457,0,0.0499999999999545,0,13,4,5,0,0.235294117647059,0,0.382352941176471,0.5,0.742857142857143,0
"26",0.4,6.4,2,0,0,0,-0.181369062527503,0,0.0300000000000864,0,14,2,5,0,0.125,0,0.4375,0.5,0.8,0
"27",0.2,9.2,2,0.285714285714286,0.5,0.2,0.232767270050342,0.2,0.110000000000014,1,22,1,4,0.2,0.0434782608695652,0.5,0.578260869565217,0.65,0.897959183673469,0.433497536945813
"28",0.2,6.2,2,0.285714285714286,0.5,0.2,0.199505968780253,0.2,0.0299999999999727,1,15,1,4,0.2,0.0625,0.5,0.56875,0.65,0.857142857142857,0.428571428571429
"29",0.2,6.2,2,0.285714285714286,0.5,0.2,0.229227953237502,0.2,0.0800000000000409,1,21,1,4,0.2,0.0454545454545455,0.5,0.577272727272727,0.65,0.893617021276596,0.43298969072165
"30",0.4,6.4,2,0,0,0,-0.162650012158089,0,0.0699999999999363,0,16,2,5,0,0.111111111111111,0,0.444444444444444,0.5,0.82051282051282,0
"31",1,3,4,0,0,0,-0.151619608715781,0,0.149999999999977,0,25,4,5,0,0.137931034482759,0,0.431034482758621,0.5,0.847457627118644,0
"32",0.2,6.2,2,0.285714285714286,0.5,0.2,0.221162934232346,0.2,0.1099999999999,1,19,1,4,0.2,0.05,0.5,0.575,0.65,0.883720930232558,0.431818181818182
"33",1.4,3.4,4,0,0,0,-0.168789894513944,0,0.0800000000000409,0,22,4,5,0,0.153846153846154,0,0.423076923076923,0.5,0.830188679245283,0
"34",0.6,6.6,2,0,0,0,-0.147441956154897,0,0.0500000000000682,0,18,2,5,0,0.1,0,0.45,0.5,0.837209302325581,0
"35",0.6,2.6,4,0.444444444444444,0.5,0.4,0.321182027418786,0.4,0.0599999999999454,2,17,2,3,0.4,0.105263157894737,0.5,0.647368421052632,0.55,0.871794871794872,0.588744588744588
"36",0.8,2.8,4,0,0,0,-0.151619608715781,0,0.110000000000014,0,25,4,5,0,0.137931034482759,0,0.431034482758621,0.5,0.847457627118644,0
"37",0.4,6.4,2,0,0,0,-0.192450089729875,0,0.0300000000000864,0,13,2,5,0,0.133333333333333,0,0.433333333333333,0.5,0.787878787878788,0
"38",0.4,6.4,2,0,0,0,-0.181369062527503,0,0.0799999999999272,0,14,2,5,0,0.125,0,0.4375,0.5,0.8,0
"39",0.4,6.4,2,0,0,0,-0.11516335992622,0,0.120000000000005,0,24,2,5,0,0.0769230769230769,0,0.461538461538462,0.5,0.872727272727273,0
"40",0.4,6.4,2,0,0,0,-0.154672056222436,0,0.0299999999999727,0,17,2,5,0,0.105263157894737,0,0.447368421052632,0.5,0.829268292682927,0
"41",0.2,2.2,4,0.666666666666667,0.75,0.6,0.577350269189626,0.6,0.0500000000000682,3,14,1,2,0.6,0.0666666666666667,0.75,0.766666666666667,0.575,0.903225806451613,0.767123287671233
"42",0,6,2,0.571428571428572,1,0.4,0.577350269189626,0.4,0.0300000000000864,2,15,0,3,0.4,0,1,0.7,0.8,0.909090909090909,0.701754385964913
"43",0.4,6.4,2,0,0,0,-0.140859042454753,0,0.0499999999999545,0,19,2,5,0,0.0952380952380952,0,0.452380952380952,0.5,0.844444444444444,0
"44",0.2,6.2,2,0.285714285714286,0.5,0.2,0.192450089729875,0.2,0.0299999999999727,1,14,1,4,0.2,0.0666666666666667,0.5,0.566666666666667,0.65,0.848484848484849,0.427480916030535
"45",0.2,9.2,2,0.285714285714286,0.5,0.2,0.211445015805516,0.2,0.0300000000000864,1,17,1,4,0.2,0.0555555555555556,0.5,0.572222222222222,0.65,0.871794871794872,0.430379746835443
"46",0.4,2.4,4,0.444444444444444,0.5,0.4,0.288675134594813,0.4,0.0600000000000591,2,13,2,3,0.4,0.133333333333333,0.5,0.633333333333333,0.55,0.838709677419355,0.581005586592178
"47",0.4,6.4,2,0.285714285714286,0.5,0.2,0.192450089729875,0.2,0.0299999999999727,1,14,1,4,0.2,0.0666666666666667,0.5,0.566666666666667,0.65,0.848484848484849,0.427480916030535
"48",0.4,6.4,2,0,0,0,-0.181369062527503,0,0.0799999999999272,0,14,2,5,0,0.125,0,0.4375,0.5,0.8,0
"49",0.4,6.4,2,0,0,0,-0.129315150027968,0,0.0599999999999454,0,21,2,5,0,0.0869565217391304,0,0.456521739130435,0.5,0.857142857142857,0
"50",0.4,6.4,2,0,0,0,-0.119522860933439,0,0.129999999999995,0,23,2,5,0,0.08,0,0.46,0.5,0.867924528301887,0
"51",0.4,6.4,2,0,0,0,-0.147441956154897,0,0.0499999999999545,0,18,2,5,0,0.1,0,0.45,0.5,0.837209302325581,0
"52",0.6,2.6,4,0.222222222222222,0.25,0.2,0.0761386987626881,0.2,0.0399999999999636,1,20,3,4,0.2,0.130434782608696,0.25,0.534782608695652,0.525,0.851063829787234,0.352422907488986
"53",0.4,6.4,2,0,0,0,-0.192450089729875,0,0.07000000000005,0,13,2,5,0,0.133333333333333,0,0.433333333333333,0.5,0.787878787878788,0
"54",0.6,9.6,2,0.285714285714286,0.5,0.2,0.199505968780253,0.2,0.0900000000000318,1,15,1,4,0.2,0.0625,0.5,0.56875,0.65,0.857142857142857,0.428571428571429
"55",0.4,6.4,2,0,0,0,-0.103806849817175,0,0.139999999999986,0,27,2,5,0,0.0689655172413793,0,0.46551724137931,0.5,0.885245901639344,0
"56",0.2,6.2,2,0.285714285714286,0.5,0.2,0.205798302171011,0.2,0.0400000000000773,1,16,1,4,0.2,0.0588235294117647,0.5,0.570588235294118,0.65,0.864864864864865,0.429530201342282
"57",0.4,6.4,2,0,0,0,-0.181369062527503,0,0.0599999999999454,0,14,2,5,0,0.125,0,0.4375,0.5,0.8,0
"58",0.4,6.4,2,0,0,0,-0.192450089729875,0,0.0499999999999545,0,13,2,5,0,0.133333333333333,0,0.433333333333333,0.5,0.787878787878788,0
"59",0.2,6.2,2,0.285714285714286,0.5,0.2,0.232767270050342,0.2,0.0600000000000591,1,22,1,4,0.2,0.0434782608695652,0.5,0.578260869565217,0.65,0.897959183673469,0.433497536945813
"60",0.4,9.4,2,0,0,0,-0.181369062527503,0,0.120000000000005,0,14,2,5,0,0.125,0,0.4375,0.5,0.8,0
"61",0.2,6.2,2,0.285714285714286,0.5,0.2,0.236029397624978,0.2,0.100000000000023,1,23,1,4,0.2,0.0416666666666667,0.5,0.579166666666667,0.65,0.901960784313726,0.433962264150944
"62",0.6,6.6,2,0,0,0,-0.134839972492648,0,0.0599999999999454,0,20,2,5,0,0.0909090909090909,0,0.454545454545455,0.5,0.851063829787234,0
"63",0.2,6.2,2,0.285714285714286,0.5,0.2,0.216540878711411,0.2,0.07000000000005,1,18,1,4,0.2,0.0526315789473684,0.5,0.573684210526316,0.65,0.878048780487805,0.431137724550898
"64",0.8,2.8,4,0.222222222222222,0.25,0.2,0.0975900072948533,0.2,0.25,1,24,3,4,0.2,0.111111111111111,0.25,0.544444444444444,0.525,0.872727272727273,0.354243542435424
"65",0.4,9.4,2,0,0,0,-0.171498585142509,0,0.0300000000000864,0,15,2,5,0,0.117647058823529,0,0.441176470588235,0.5,0.810810810810811,0
"66",0.2,6.2,2,0.285714285714286,0.5,0.2,0.246869804676128,0.2,0.0599999999999454,1,27,1,4,0.2,0.0357142857142857,0.5,0.582142857142857,0.65,0.915254237288136,0.435483870967742
"67",0.4,6.4,2,0,0,0,-0.154672056222436,0,0.07000000000005,0,17,2,5,0,0.105263157894737,0,0.447368421052632,0.5,0.829268292682927,0
"68",0.8,2.8,4,0,0,0,-0.241825416703337,0,0.0499999999999545,0,14,4,5,0,0.222222222222222,0,0.388888888888889,0.5,0.756756756756757,0
"69",0.4,2.4,4,0.444444444444444,0.5,0.4,0.298279379500652,0.4,0.0400000000000773,2,14,2,3,0.4,0.125,0.5,0.6375,0.55,0.848484848484849,0.583333333333333
"70",0.4,6.4,2,0,0,0,-0.154672056222436,0,0.0799999999999272,0,17,2,5,0,0.105263157894737,0,0.447368421052632,0.5,0.829268292682927,0
"71",1,3,4,0,0,0,-0.27116307227332,0,0.0600000000000591,0,12,4,5,0,0.25,0,0.375,0.5,0.727272727272727,0
"72",0.4,6.4,2,0,0,0,-0.171498585142509,0,0.0600000000000591,0,15,2,5,0,0.117647058823529,0,0.441176470588235,0.5,0.810810810810811,0
"73",0.4,6.4,2,0,0,0,-0.140859042454753,0,0.0800000000000409,0,19,2,5,0,0.0952380952380952,0,0.452380952380952,0.5,0.844444444444444,0
"74",0.4,6.4,2,0,0,0,-0.171498585142509,0,0.0499999999999545,0,15,2,5,0,0.117647058823529,0,0.441176470588235,0.5,0.810810810810811,0
"75",0.4,6.4,2,0,0,0,-0.192450089729875,0,0.0500000000000682,0,13,2,5,0,0.133333333333333,0,0.433333333333333,0.5,0.787878787878788,0
"76",0.4,9.4,2,0,0,0,-0.140859042454753,0,0.0499999999999545,0,19,2,5,0,0.0952380952380952,0,0.452380952380952,0.5,0.844444444444444,0
"77",0.2,6.2,2,0.285714285714286,0.5,0.2,0.221162934232346,0.2,0.07000000000005,1,19,1,4,0.2,0.05,0.5,0.575,0.65,0.883720930232558,0.431818181818182
"78",0.4,2.4,4,0.444444444444444,0.5,0.4,0.288675134594813,0.4,0.0599999999999454,2,13,2,3,0.4,0.133333333333333,0.5,0.633333333333333,0.55,0.838709677419355,0.581005586592178
"79",0.4,6.4,2,0,0,0,-0.111111111111111,0,0.0699999999999363,0,25,2,5,0,0.0740740740740741,0,0.462962962962963,0.5,0.87719298245614,0
