"","outer_sum_original","outer_sum_radiusPenalty","seeds_no","f1","prec","rec","mcc","det_rate","time_vector","TP","TN","FP","FN","TPR","FPR","PPV","aucroc","aucpr","negf1","AR"
"1",NA,NA,8,0,0,0,-0.048109042448201,0,1.24000000000001,0,209,8,14,0,0.0368663594470046,0,0.481566820276498,0.5,0.95,0
"2",NA,NA,15,0.0689655172413793,0.0666666666666667,0.0714285714285714,0.00669349440752082,0.0714285714285714,1.61000000000001,1,203,14,13,0.0714285714285714,0.0645161290322581,0.0666666666666667,0.503456221198157,0.497619047619048,0.937644341801386,0.128481012658228
"3",NA,NA,14,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0292207792207792,0.0714285714285714,4.33999999999992,1,295,13,13,0.0714285714285714,0.0422077922077922,0.0714285714285714,0.51461038961039,0.5,0.957792207792208,0.132942767012168
"4",NA,NA,15,0,0,0,-0.0567178258108144,0,3.03000000000009,0,241,15,14,0,0.05859375,0,0.470703125,0.5,0.943248532289628,0
"5",NA,NA,8,0,0,0,-0.0407065761715578,0,3.53000000000009,0,249,8,14,0,0.0311284046692607,0,0.48443579766537,0.5,0.957692307692308,0
"6",NA,NA,8,0,0,0,-0.0329703035977231,0,3.93999999999994,0,310,8,14,0,0.0251572327044025,0,0.487421383647799,0.5,0.965732087227414,0
"7",NA,NA,12,0,0,0,-0.045800573557631,0,3.24000000000001,0,270,12,14,0,0.0425531914893617,0,0.478723404255319,0.5,0.954063604240283,0
"8",NA,NA,14,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.031305114638448,0.0714285714285714,4.71000000000004,1,311,13,13,0.0714285714285714,0.0401234567901235,0.0714285714285714,0.515652557319224,0.5,0.959876543209877,0.132962804617358
"9",NA,NA,12,0,0,0,-0.0522644627788097,0,2.07999999999993,0,235,12,14,0,0.048582995951417,0,0.475708502024291,0.5,0.94758064516129,0
"10",NA,NA,11,0.08,0.0909090909090909,0.0714285714285714,0.0436220504885343,0.0714285714285714,7.68000000000006,1,297,10,13,0.0714285714285714,0.0325732899022801,0.0909090909090909,0.519427640763146,0.50974025974026,0.962722852512156,0.147724446655061
"11",NA,NA,15,0.0689655172413793,0.0666666666666667,0.0714285714285714,0.0242610447347003,0.0714285714285714,3.82000000000005,1,288,14,13,0.0714285714285714,0.0463576158940397,0.0666666666666667,0.512535477767266,0.497619047619048,0.955223880597015,0.128643216080402
"12",NA,NA,8,0,0,0,-0.0355152401402989,0,3.50999999999999,0,287,8,14,0,0.0271186440677966,0,0.486440677966102,0.5,0.963087248322148,0
"13",NA,NA,8,0.0909090909090909,0.125,0.0714285714285714,0.0545640239137571,0.0714285714285714,2.25,1,229,7,13,0.0714285714285714,0.0296610169491525,0.125,0.520883777239709,0.526785714285714,0.958158995815899,0.166062364031907
"14",NA,NA,14,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0139064475347661,0.0714285714285714,1.77999999999997,1,213,13,13,0.0714285714285714,0.0575221238938053,0.0714285714285714,0.506953223767383,0.5,0.942477876106195,0.132793017456359
"15",NA,NA,13,0,0,0,-0.0580248118684022,0,1.46000000000004,0,219,13,14,0,0.0560344827586207,0,0.47198275862069,0.5,0.941935483870968,0
"16",NA,NA,14,0.142857142857143,0.142857142857143,0.142857142857143,0.109616145627226,0.142857142857143,7.55000000000007,2,349,12,12,0.142857142857143,0.0332409972299169,0.142857142857143,0.554808072813613,0.5,0.966759002770083,0.248930099857347
