"outer_sum_original","outer_sum_radiusPenalty","det_rate","time_vector"
1,1,0,0.530000000000001
2,2,0,0.890000000000001
1.5,1.5,0,0.530000000000001
2,2,0,0.52
3,3,0,0.780000000000001
2.5,2.5,0,0.49
2,2,0,0.42
2,2,0,0.790000000000001
3.5,3.5,0,0.830000000000002
1,1,0.5,0.550000000000001
2.5,2.5,0,0.859999999999999
1.5,1.5,0,1.5
2,2,0,1.27
2,2,0,1.72
2.5,2.5,0,0.98
2,2,0,0.609999999999999
1.5,1.5,0,0.770000000000003
2,2,0,0.91
1.5,1.5,0,1.23
2,2,0,1.39
1,1,0,1.83
2,2,0,0.82
1.5,1.5,0,0.68
2,2,0,1.21
2,2,0,0.960000000000001
2.5,2.5,0,1.02
1.5,1.5,0,0.649999999999999
1.5,1.5,0,0.809999999999995
2.5,2.5,0,0.940000000000005
2,2,0,1.01
3,3,0,0.939999999999998
1.5,1.5,0,0.339999999999996
2.5,2.5,0,0.559999999999995
2,2,0,0.649999999999999
2,2,0,0.82
1.5,1.5,0,0.460000000000001
1,1,0,0.670000000000002
1.5,1.5,0,0.369999999999997
2,2,0,0.43
2,2,0,1.06
1.5,1.5,0,0.550000000000004
1.5,1.5,0,0.799999999999997
2,2,0,0.710000000000001
2,2,0,0.789999999999999
1.5,1.5,0,1.4
1.5,1.5,0,1.65
2,2,0,0.729999999999997
2,2,0,0.420000000000002
2.5,2.5,0,1.27
1.5,1.5,0,1.42
1.5,1.5,0,0.890000000000001
1.5,1.5,0,1
2,2,0,0.640000000000001
2,2,0,0.530000000000001
1.5,1.5,0,1.2
2,2,0,0.689999999999998
1.5,1.5,0,0.579999999999998
2,2,0,0.530000000000001
2,2,0,0.629999999999995
1,1,0,0.569999999999993
2,2,0,0.629999999999995
1.5,1.5,0,1.13
1,1,0,0.730000000000004
2,2,0,0.530000000000001
2,2,0,0.679999999999993
1,1,0,1.56
2,2,0,0.949999999999989
2.5,2.5,0,0.940000000000012
1.5,1.5,0,0.579999999999998
1.5,1.5,0,1.29000000000001
2.5,2.5,0,1.11
1.5,1.5,0,0.640000000000001
2,2,0,0.969999999999999
2,2,0,1.06999999999999
1,1,0,0.780000000000001
2,2,0,0.910000000000011
3,3,0,1.66
1.5,1.5,0,1.05
2,2,0,0.829999999999998
1.5,1.5,0,0.560000000000002
2,2,0,0.810000000000002
1.5,1.5,0,0.940000000000012
1,1,0.5,0.680000000000007
1.5,1.5,0,0.829999999999998
1,1,0,0.560000000000002
1.5,1.5,0,0.789999999999992
1.5,1.5,0,1.19
1.5,1.5,0,0.549999999999997
1.5,1.5,0,1.19
2,2,0,1.36
2.5,2.5,0,2.17999999999999
1.5,1.5,0,1.75
1.5,1.5,0,0.629999999999995
2.5,2.5,0,0.950000000000003
2,2,0,1.01000000000001
2,2,0,0.620000000000005
3,3,0,0.589999999999989
2,2,0,0.830000000000013
2,2,0,0.450000000000003
1.5,1.5,0,0.709999999999994
