"outer_sum_original","outer_sum_radiusPenalty","det_rate","time_vector"
1.2,1.2,0,0.330000000000041
1,1,0.2,0.110000000000014
1.6,1.6,0,0.389999999999986
1.4,1.4,0,0.0599999999999454
1,1,0.2,0.0900000000000318
1.2,1.2,0.4,0.0600000000000591
1.4,1.4,0.4,0.129999999999995
1,1,0.2,0.159999999999968
1.2,1.2,0,0.07000000000005
1.2,1.2,0,0.07000000000005
0.8,0.8,0.2,0.129999999999995
1.4,1.4,0,0.370000000000005
1.2,1.2,0.2,0.0900000000000318
1.2,1.2,0.2,0.100000000000023
0.8,0.8,0.2,0.169999999999959
1,1,0.4,0.1400000000001
1.4,1.4,0.2,0.0499999999999545
1,1,0,0.0599999999999454
0.8,0.8,0.2,0.07000000000005
1.4,1.4,0.2,0.0600000000000591
1.4,1.4,0,0.149999999999977
0.8,0.8,0.4,0.0400000000000773
1,1,0.2,0.0900000000000318
0.8,0.8,0.2,0.0900000000000318
1,1,0,0.0899999999999181
0.8,0.8,0.2,0.0600000000000591
0.8,0.8,0.4,0.299999999999955
1.4,1.4,0.2,0.0399999999999636
1,1,0.2,0.0799999999999272
1,1,0.2,0.120000000000005
1.2,1.2,0.2,0.419999999999959
1,1,0.4,0.25
2,2,0,0.129999999999882
1.2,1.2,0,0.119999999999891
1,1,0.4,0.110000000000127
1,1,0,0.210000000000036
1,1,0.2,0.0499999999999545
0.8,0.8,0.2,0.0399999999999636
1.4,1.4,0,0.220000000000027
1,1,0,0.0699999999999363
0.4,0.4,0.6,0.100000000000136
0.8,0.8,0.6,0.0599999999999454
1.2,1.2,0,0.119999999999891
0.6,0.6,0.4,0.0599999999999454
1.4,1.4,0.2,0.119999999999891
0.8,0.8,0.4,0.0899999999999181
1.2,1.2,0.2,0.0700000000001637
1,1,0.2,0.120000000000118
1.2,1.2,0,0.130000000000109
1.6,1.6,0,0.170000000000073
1.2,1.2,0,0.0899999999999181
0.6,0.6,0.4,0.0800000000001546
1.2,1.2,0.2,0.0700000000001637
1.2,1.2,0.4,0.110000000000127
1.8,1.8,0,0.190000000000055
1,1,0.2,0.0799999999999272
1.2,1.2,0,0.0800000000001546
1,1,0.2,0.279999999999973
0.8,0.8,0.4,0.25
0.8,0.8,0.4,0.1099999999999
1,1,0.2,0.339999999999918
1.4,1.4,0.2,0.0999999999999091
0.8,0.8,0.2,0.0899999999999181
1,1,0.4,0.289999999999964
0.8,0.8,0.2,0.0600000000001728
0.6,0.6,0.6,0.1400000000001
1.4,1.4,0,0.170000000000073
0.8,0.8,0.2,0.110000000000127
0.6,0.6,0.4,0.199999999999818
1.4,1.4,0.2,0.350000000000136
1.4,1.4,0,0.1400000000001
1.2,1.2,0,0.0599999999999454
1.2,1.2,0,0.0799999999999272
1.2,1.2,0.2,0.110000000000127
1.4,1.4,0,0.0799999999999272
1.4,1.4,0,0.0599999999999454
1.2,1.2,0.2,0.0399999999999636
0.6,0.6,0.6,0.0799999999999272
1.6,1.6,0.2,0.150000000000091
1.6,1.6,0,0.0999999999999091
1.8,1.8,0,0.420000000000073
0.8,0.8,0.4,0.0700000000001637
1,1,0.2,0.0899999999999181
1.6,1.6,0,0.149999999999864
1.2,1.2,0,0.139999999999873
0.6,0.6,0.4,0.160000000000082
0.8,0.8,0.4,0.110000000000127
1.4,1.4,0,0.0899999999999181
1.2,1.2,0.2,0.0599999999999454
0.8,0.8,0.2,0.139999999999873
1.8,1.8,0,0.200000000000045
1,1,0,0.0900000000001455
1.2,1.2,0,0.110000000000127
0.8,0.8,0.6,0.0599999999999454
1.2,1.2,0.2,0.0499999999999545
0.8,0.8,0.2,0.130000000000109
1.8,1.8,0,0.119999999999891
1.4,1.4,0,0.0800000000001546
0.8,0.8,0.2,0.119999999999891
1.2,1.2,0.2,0.119999999999891
