"outer_sum_original","outer_sum_radiusPenalty","det_rate","time_vector"
1,1,0.5,0.0199999999999818
0.75,0.75,0.5,0.0199999999999818
1,1,0.5,0.0100000000000477
0.75,0.75,0.25,0.0300000000000296
0.75,0.75,0.5,0
2,2,0.25,0.0199999999999818
1.25,1.25,0.5,0.00999999999999091
1.25,1.25,0.5,0.0299999999999727
1,1,0.5,0.00999999999999091
1.5,1.5,0.25,0.0300000000000296
0.75,0.75,0.5,0.0199999999999818
0.75,0.75,0.25,0.0199999999999818
1.25,1.25,0.5,0.0199999999999818
1,1,0.25,0.00999999999999091
1.25,1.25,0.25,0.0200000000000387
1,1,0.5,0.0200000000000387
1.5,1.5,0.25,0.0200000000000387
1.5,1.5,0.25,0.0199999999999818
1.5,1.5,0.25,0.0199999999999818
0.75,0.75,0.5,0.00999999999999091
1,1,0.25,0.00999999999999091
1.25,1.25,0.5,0.0300000000000296
1.25,1.25,0.25,0.0200000000000387
1.25,1.25,0.25,0.0200000000000387
1.5,1.5,0.25,0.00999999999999091
1.25,1.25,0.25,0.0300000000000296
1.25,1.25,0.25,0.00999999999999091
1.25,1.25,0.25,0.00999999999999091
0.5,0.5,0.5,0.00999999999999091
1.25,1.25,0.25,0.00999999999999091
1.25,1.25,0.25,0.00999999999999091
1,1,0.5,0.0199999999999818
1.75,1.75,0.25,0.0100000000000477
1,1,0.25,0.0199999999999818
1,1,0.25,0.0199999999999818
1,1,0.5,0.0299999999999727
2,2,0.25,0.0199999999999818
1.75,1.75,0.25,0.00999999999999091
0.75,0.75,0.25,0.0199999999999818
1.25,1.25,0.5,0.0300000000000296
1,1,0.5,0.00999999999999091
1.25,1.25,0.25,0.00999999999999091
1.75,1.75,0.25,0.0199999999999818
1,1,0.25,0.00999999999999091
1.25,1.25,0.5,0.0199999999999818
1,1,0.5,0.0199999999999818
1,1,0,0.0300000000000296
1,1,0.25,0.0200000000000387
1,1,0.5,0.0199999999999818
0.75,0.75,0.5,0.0100000000000477
1,1,0.25,0.0199999999999818
1.25,1.25,0.25,0.0200000000000387
0.75,0.75,0.5,0.0199999999999818
1.25,1.25,0.5,0.0100000000000477
1.25,1.25,0.25,0.0100000000000477
1.75,1.75,0.25,0.0199999999999818
1.5,1.5,0.25,0.00999999999999091
1.25,1.25,0.5,0.00999999999999091
1.5,1.5,0.25,0.0300000000000296
1.25,1.25,0.25,0.0299999999999727
1.25,1.25,0.25,0.0399999999999636
0.75,0.75,0.5,0.0199999999999818
1,1,0.25,0.0300000000000296
0.75,0.75,0.5,0.00999999999999091
1.25,1.25,0,0.0300000000000296
0.75,0.75,0.5,0.0199999999999818
1.25,1.25,0.25,0.0199999999999818
1.25,1.25,0,0.0399999999999636
1,1,0.25,0.0300000000000296
1.25,1.25,0.25,0.0400000000000205
1,1,0.5,0.0199999999999818
0.75,0.75,0.5,0.0300000000000296
1,1,0.5,0.0299999999999727
1,1,0.5,0.0199999999999818
1.75,1.75,0.25,0.0100000000000477
1.5,1.5,0.25,0.0299999999999727
1.25,1.25,0.25,0.0100000000000477
1,1,0.5,0.00999999999999091
1.5,1.5,0.25,0.00999999999999091
1,1,0.25,0.0200000000000387
0.75,0.75,0.25,0.0199999999999818
0.5,0.5,0.75,0.0299999999999727
0.75,0.75,0.25,0.00999999999999091
1,1,0.25,0.0200000000000387
0.75,0.75,0.5,0.00999999999999091
1.25,1.25,0.25,0.0199999999999818
1.25,1.25,0.25,0.0100000000000477
1,1,0.25,0.0299999999999727
0.75,0.75,0.25,0.0100000000000477
1.5,1.5,0.25,0.0199999999999818
1,1,0.25,0.00999999999999091
1,1,0.5,0.0299999999999727
1.5,1.5,0.25,0.0199999999999818
0.5,0.5,0.5,0.0300000000000296
1.5,1.5,0.25,0.0300000000000296
0.75,0.75,0.5,0.0199999999999818
0.75,0.75,0.25,0.0100000000000477
1.25,1.25,0.25,0.0300000000000296
1.75,1.75,0.25,0.0199999999999818
1.25,1.25,0.25,0.0299999999999727
