"","outer_sum_original","outer_sum_radiusPenalty","seeds_no","f1","prec","rec","mcc","det_rate","time_vector","TP","TN","FP","FN","TPR","FPR","PPV","aucroc","aucpr","negf1","AR"
"1",1.5,4.5,3,0,0,0,-0.02084691,0,0.44,0,115,3,2,0,0.0254237288135593,0,0.48728813559322,0.5,0.978723404255319,0
"2",1,3,3,0,0,0,-0.018486847,0,0.64,0,130,3,2,0,0.0225563909774436,0,0.488721804511278,0.5,0.981132075471698,0
"3",1.5,1.5,2,0,0,0,-0.015267176,0,0.54,0,129,2,2,0,0.0152671755725191,0,0.49236641221374,0.5,0.984732824427481,0
"4",1.5,3.5,3,0,0,0,-0.019363707,0,0.58,0,124,3,2,0,0.0236220472440945,0,0.488188976377953,0.5,0.980237154150198,0
"5",1.5,7.5,4,0,0,0,-0.015713727,0,0.94,0,177,4,2,0,0.0220994475138122,0,0.488950276243094,0.5,0.983333333333333,0
"6",0.5,2.5,1,0,0,0,-0.010673386,0,0.59,0,131,1,2,0,0.00757575757575758,0,0.496212121212121,0.5,0.988679245283019,0
"7",1.5,3.5,3,0,0,0,-0.021581617,0,0.41,0,111,3,2,0,0.0263157894736842,0,0.486842105263158,0.5,0.977973568281938,0
"8",2,5,3,0,0,0,-0.017814589,0,0.64,0,135,3,2,0,0.0217391304347826,0,0.489130434782609,0.5,0.981818181818182,0
"9",1,4,1,0,0,0,-0.008756782,0,0.78,0,160,1,2,0,0.0062111801242236,0,0.496894409937888,0.5,0.990712074303405,0
"10",1,3,3,0,0,0,-0.021581617,0,0.44,0,111,3,2,0,0.0263157894736842,0,0.486842105263158,0.5,0.977973568281938,0
"11",1.5,4.5,3,0,0,0,-0.017559179,0,0.63,0,137,3,2,0,0.0214285714285714,0,0.489285714285714,0.5,0.982078853046595,0
"12",1.5,1.5,2,0,0,0,-0.013333333,0,0.75,0,148,2,2,0,0.0133333333333333,0,0.493333333333333,0.5,0.986666666666667,0
"13",1,7,4,0,0,0,-0.01911143,0,1.09,0,145,4,2,0,0.0268456375838926,0,0.486577181208054,0.5,0.97972972972973,0
"14",1,1,2,0,0,0,-0.011695906,0,1.6,0,169,2,2,0,0.0116959064327485,0,0.494152046783626,0.5,0.988304093567251,0
"15",1.5,7.5,4,0,0,0,-0.018731716,0,0.94,0,148,4,2,0,0.0263157894736842,0,0.486842105263158,0.5,0.980132450331126,0
"16",1.5,5.5,4,0,0,0,-0.025714036,0,0.94,0,107,4,2,0,0.036036036036036,0,0.481981981981982,0.5,0.972727272727273,0
"17",1,3,3,0,0,0,-0.015454271,0,1.56,0,156,3,2,0,0.0188679245283019,0,0.490566037735849,0.5,0.984227129337539,0
"18",1.5,1.5,2,0,0,0,-0.016129032,0,0.72,0,122,2,2,0,0.0161290322580645,0,0.491935483870968,0.5,0.983870967741935,0
"19",1.5,7.5,4,0,0,0,-0.015626908,0,1.33,0,178,4,2,0,0.021978021978022,0,0.489010989010989,0.5,0.983425414364641,0
"20",0.5,2.5,1,0,0,0,-0.008649665,0,1.04,0,162,1,2,0,0.00613496932515337,0,0.496932515337423,0.5,0.990825688073395,0
"21",1,1,2,0,0,0,-0.012048193,0,1.19,0,164,2,2,0,0.0120481927710843,0,0.493975903614458,0.5,0.987951807228916,0
"22",1,5,4,0,0,0,-0.017678015,0,1.31,0,157,4,2,0,0.0248447204968944,0,0.487577639751553,0.5,0.98125,0
"23",1.5,1.5,2,0,0,0,-0.013513514,0,0.81,0,146,2,2,0,0.0135135135135135,0,0.493243243243243,0.5,0.986486486486487,0
"24",1.5,5.5,4,0,0,0,-0.017901796,0,0.86,0,155,4,2,0,0.0251572327044025,0,0.487421383647799,0.5,0.981012658227848,0
"25",1,1,2,0,0,0,-0.011049724,0,0.98,0,179,2,2,0,0.0110497237569061,0,0.494475138121547,0.5,0.988950276243094,0
"26",0.5,3.5,1,0,0,0,-0.00762382,0,1.02,0,184,1,2,0,0.00540540540540541,0,0.497297297297297,0.5,0.991913746630728,0
"27",0.5,2.5,1,0,0,0,-0.010065641,0,0.66,0,139,1,2,0,0.00714285714285714,0,0.496428571428571,0.5,0.98932384341637,0
"28",1.5,1.5,2,0,0,0,-0.015267176,0,0.63,0,129,2,2,0,0.0152671755725191,0,0.49236641221374,0.5,0.984732824427481,0
"29",2,5,3,0,0,0,-0.013570632,0,0.97,0,178,3,2,0,0.0165745856353591,0,0.49171270718232,0.5,0.986149584487535,0
"30",0.5,2.5,1,0,0,0,-0.009587944,0,0.71,0,146,1,2,0,0.00680272108843537,0,0.496598639455782,0.5,0.989830508474576,0
"31",2,8,4,0,0,0,-0.015890291,0,0.97,0,175,4,2,0,0.0223463687150838,0,0.488826815642458,0.5,0.98314606741573,0
"32",0.5,2.5,1,0,0,0,-0.014213381,0,0.36,0,98,1,2,0,0.0101010101010101,0,0.494949494949495,0.5,0.984924623115578,0
"33",1,4,3,0,0,0,-0.024868237,0,0.58,0,96,3,2,0,0.0303030303030303,0,0.484848484848485,0.5,0.974619289340102,0
"34",1,3,3,0,0,0,-0.017189508,0,0.7,0,140,3,2,0,0.020979020979021,0,0.48951048951049,0.5,0.982456140350877,0
"35",1.5,1.5,2,0,0,0,-0.015748031,0,0.66,0,125,2,2,0,0.015748031496063,0,0.492125984251969,0.5,0.984251968503937,0
"36",1,5,4,0,0,0,-0.023571044,0,0.55,0,117,4,2,0,0.0330578512396694,0,0.483471074380165,0.5,0.975,0
"37",1,7,4,0,0,0,-0.019642329,0,0.72,0,141,4,2,0,0.0275862068965517,0,0.486206896551724,0.5,0.979166666666667,0
