"","outer_sum_original","outer_sum_radiusPenalty","seeds_no","f1","prec","rec","mcc","det_rate","time_vector","TP","TN","FP","FN","TPR","FPR","PPV","aucroc","aucpr","negf1","AR"
"1",0.2,6.2,2,0.285714285714286,0.5,0.2,0.175411603861406,0.2,0.109999999999673,1,12,1,4,0.2,0,1,0.561538461538462,0.65,0.827586206896552,0.424778761061947
"2",0.2,9.2,2,0.285714285714286,0.5,0.2,0.164991582276861,0.2,0.0599999999999454,1,11,1,4,0.2,0,1,0.558333333333333,0.65,0.814814814814815,0.423076923076923
"3",0.2,9.2,2,0.285714285714286,0.5,0.2,0.152894157431288,0.2,0.0700000000001637,1,10,1,4,0.2,0,1,0.554545454545455,0.65,0.8,0.421052631578948
"4",0.4,6.4,2,0.285714285714286,0.5,0.2,0.175411603861406,0.2,0.0799999999999272,1,12,1,4,0.2,0,1,0.561538461538462,0.65,0.827586206896552,0.424778761061947
"5",0.2,6.2,2,0.285714285714286,0.5,0.2,0.175411603861406,0.2,0.080000000000382,1,12,1,4,0.2,0,1,0.561538461538462,0.65,0.827586206896552,0.424778761061947
"6",0.2,6.2,2,0.285714285714286,0.5,0.2,0.152894157431288,0.2,0.0599999999999454,1,10,1,4,0.2,0,1,0.554545454545455,0.65,0.8,0.421052631578948
"7",0.2,6.2,2,0.285714285714286,0.5,0.2,0.164991582276861,0.2,0.069999999999709,1,11,1,4,0.2,0,1,0.558333333333333,0.65,0.814814814814815,0.423076923076923
"8",0.2,6.2,2,0.285714285714286,0.5,0.2,0.192450089729875,0.2,0.069999999999709,1,14,1,4,0.2,0,1,0.566666666666667,0.65,0.848484848484849,0.427480916030535
"9",0,8,1,0.333333333333333,1,0.2,0.391076944437521,0.2,0.0700000000001637,1,13,0,4,0.2,0,1,0.6,0.9,0.866666666666667,0.481481481481481
"10",0.4,6.4,2,0.285714285714286,0.5,0.2,0.152894157431288,0.2,0.0999999999999091,1,10,1,4,0.2,0,1,0.554545454545455,0.65,0.8,0.421052631578948
"11",0.2,9.2,2,0.285714285714286,0.5,0.2,0.184482013880427,0.2,0.279999999999745,1,13,1,4,0.2,0,1,0.564285714285714,0.65,0.838709677419355,0.426229508196722
"12",0.2,6.2,3,0.5,0.666666666666667,0.4,0.378489059622558,0.4,0.069999999999709,2,11,1,3,0.2,0,1,0.658333333333333,0.633333333333333,0.846153846153846,0.628571428571429
"13",0.6,9.6,2,0,0,0,-0.235702260395516,0,0.0599999999999454,0,10,2,5,0.2,0,1,0.416666666666667,0.5,0.740740740740741,0
"14",0.2,9.2,2,0.285714285714286,0.5,0.2,0.184482013880427,0.2,0.0599999999999454,1,13,1,4,0.2,0,1,0.564285714285714,0.65,0.838709677419355,0.426229508196722
"15",0.6,6.6,3,0.25,0.333333333333333,0.2,0.0554700196225229,0.2,0.0399999999999636,1,11,2,4,0.2,0,1,0.523076923076923,0.566666666666667,0.785714285714286,0.379310344827586
"16",0.2,6.2,2,0.285714285714286,0.5,0.2,0.175411603861406,0.2,0.069999999999709,1,12,1,4,0.2,0,1,0.561538461538462,0.65,0.827586206896552,0.424778761061947
"17",0.4,6.4,2,0,0,0,-0.235702260395516,0,0.0599999999999454,0,10,2,5,0.2,0,1,0.416666666666667,0.5,0.740740740740741,0
"18",0,6,2,0.571428571428572,1,0.4,0.560611910581388,0.4,0.0399999999999636,2,11,0,3,0.2,0,1,0.7,0.8,0.88,0.692913385826772
"19",0.4,6.4,2,0.285714285714286,0.5,0.2,0.164991582276861,0.2,0.069999999999709,1,11,1,4,0.2,0,1,0.558333333333333,0.65,0.814814814814815,0.423076923076923
"20",0.4,6.4,2,0,0,0,-0.192450089729875,0,0.0700000000001637,0,13,2,5,0.2,0,1,0.433333333333333,0.5,0.787878787878788,0
"21",0,8,1,0.333333333333333,1,0.2,0.404519917477945,0.2,0.100000000000364,1,18,0,4,0.2,0,1,0.6,0.9,0.9,0.486486486486486
"22",0.4,4.4,3,0.25,0.333333333333333,0.2,0.0554700196225229,0.2,0.0700000000001637,1,11,2,4,0.2,0,1,0.523076923076923,0.566666666666667,0.785714285714286,0.379310344827586
"23",0,9,2,0.571428571428572,1,0.4,0.570087712549569,0.4,0.0600000000004002,2,13,0,3,0.2,0,1,0.7,0.8,0.896551724137931,0.697986577181208
"24",0.4,6.4,2,0.285714285714286,0.5,0.2,0.184482013880427,0.2,0.0700000000001637,1,13,1,4,0.2,0,1,0.564285714285714,0.65,0.838709677419355,0.426229508196722
"25",0.4,6.4,3,0.25,0.333333333333333,0.2,0.0398409536444798,0.2,0.0899999999996908,1,10,2,4,0.2,0,1,0.516666666666667,0.566666666666667,0.769230769230769,0.377358490566038
"26",0.2,6.2,2,0.285714285714286,0.5,0.2,0.175411603861406,0.2,0.0900000000001455,1,12,1,4,0.2,0,1,0.561538461538462,0.65,0.827586206896552,0.424778761061947
"27",0.4,9.4,2,0,0,0,-0.235702260395516,0,0.0999999999999091,0,10,2,5,0.2,0,1,0.416666666666667,0.5,0.740740740740741,0
