"","outer_sum_original","outer_sum_radiusPenalty","seeds_no","f1","prec","rec","mcc","det_rate","time_vector","TP","TN","FP","FN","TPR","FPR","PPV","aucroc","aucpr","negf1","AR"
"1",NA,NA,5,0.133333333333333,0.2,0.1,0.121815595659742,0.1,6.56999999999999,1,300,4,9,0.1,0.0131578947368421,0.2,0.543421052631579,0.55,0.978792822185971,0.234695873264228
"2",NA,NA,5,0.133333333333333,0.2,0.1,0.120806905065728,0.1,4.75,1,285,4,9,0.1,0.013840830449827,0.2,0.543079584775087,0.55,0.97770154373928,0.23466447097571
"3",NA,NA,10,0.2,0.2,0.2,0.173063973063973,0.2,5.16000000000003,2,289,8,8,0.2,0.0269360269360269,0.2,0.586531986531986,0.5,0.973063973063973,0.331802525832377
"4",NA,NA,5,0.266666666666667,0.4,0.2,0.26119643151122,0.2,1.81999999999999,2,223,3,8,0.2,0.0132743362831858,0.4,0.593362831858407,0.6,0.975929978118162,0.418877670814746
"5",NA,NA,11,0,0,0,-0.0469266878169373,0,2.11000000000001,0,213,11,10,0,0.0491071428571429,0,0.475446428571429,0.5,0.953020134228188,0
"6",NA,NA,10,0.1,0.1,0.1,0.0605263157894737,0.1,3.53999999999996,1,219,9,9,0.1,0.0394736842105263,0.1,0.530263157894737,0.5,0.960526315789474,0.181141439205955
"7",NA,NA,11,0,0,0,-0.0443471962835062,0,2.41999999999996,0,226,11,10,0,0.0464135021097046,0,0.476793248945148,0.5,0.955602536997886,0
"8",NA,NA,11,0,0,0,-0.0445355079428144,0,2.67000000000002,0,225,11,10,0,0.0466101694915254,0,0.476694915254237,0.5,0.955414012738854,0
"9",NA,NA,11,0.0952380952380952,0.0909090909090909,0.1,0.062348256646175,0.1,4.06,1,278,10,9,0.1,0.0347222222222222,0.0909090909090909,0.532638888888889,0.495454545454545,0.96695652173913,0.1733977857477
"10",NA,NA,6,0.125,0.166666666666667,0.1,0.10256837648009,0.1,3.30000000000001,1,246,5,9,0.1,0.0199203187250996,0.166666666666667,0.54003984063745,0.533333333333333,0.972332015810277,0.221521837010356
"11",NA,NA,5,0.266666666666667,0.4,0.2,0.260613107727129,0.2,2.22000000000003,2,217,3,8,0.2,0.0136363636363636,0.4,0.593181818181818,0.6,0.975280898876405,0.418817852834741
"12",NA,NA,10,0,0,0,-0.0432900432900433,0,1.69999999999999,0,221,10,10,0,0.0432900432900433,0,0.478354978354978,0.5,0.956709956709957,0
"13",NA,NA,11,0.0952380952380952,0.0909090909090909,0.1,0.0562249237449989,0.1,2.81,1,233,10,9,0.1,0.0411522633744856,0.0909090909090909,0.529423868312757,0.495454545454545,0.960824742268041,0.173298624023801
"14",NA,NA,7,0.117647058823529,0.142857142857143,0.1,0.0922491286145694,0.1,3.06,1,262,6,9,0.1,0.0223880597014925,0.142857142857143,0.538805970149254,0.521428571428571,0.972170686456401,0.209893851391948
"15",NA,NA,11,0.0952380952380952,0.0909090909090909,0.1,0.0625762218127131,0.1,4.53000000000003,1,280,10,9,0.1,0.0344827586206897,0.0909090909090909,0.532758620689655,0.495454545454545,0.967184801381693,0.173401455333643
