"outer_sum_original","outer_sum_radiusPenalty","det_rate","time_vector"
1.25,1.25,0,1.68000000000001
1.25,1.25,0,2.63999999999999
1,1,0.25,1.21000000000004
1.25,1.25,0,2.43000000000001
1.5,1.5,0,1.55000000000001
1.25,1.25,0,1.44999999999999
1,1,0,2.42000000000002
1.25,1.25,0,1.58999999999997
1.5,1.5,0,1.13999999999999
1.5,1.5,0,2.22000000000003
1.25,1.25,0,1.65000000000003
1,1,0,1.58999999999997
1.5,1.5,0,1.40999999999997
1.5,1.5,0,2.67000000000002
1.5,1.5,0,1.44
1.25,1.25,0,1.75
1,1,0.25,2.38999999999999
1,1,0.25,1.13999999999999
1.25,1.25,0,1.26999999999998
1.25,1.25,0,1.44
1.5,1.5,0,1.38
1.25,1.25,0,1.35999999999996
1.25,1.25,0,1.73000000000002
1.5,1.5,0,1.56999999999999
0.75,0.75,0.25,1.88
1.5,1.5,0,2.00999999999999
1.25,1.25,0,1.62
1.25,1.25,0,1.10000000000002
1.75,1.75,0,1.38
1.25,1.25,0,2.77999999999997
1.25,1.25,0,3.20999999999998
1.5,1.5,0,2.5
1,1,0,1.61000000000001
1.5,1.5,0,1.50999999999999
1.5,1.5,0,2.26999999999998
1.75,1.75,0,1.76000000000005
1.5,1.5,0,2.86000000000001
1.5,1.5,0,2.35000000000002
1.5,1.5,0,2.16999999999996
1.25,1.25,0.25,1.74000000000001
1.25,1.25,0,1.60000000000002
2,2,0,2.97000000000003
1.5,1.5,0,2.17000000000002
0.75,0.75,0.25,2.58999999999997
1,1,0.25,2.30000000000001
1,1,0,4.03000000000003
1.25,1.25,0,1.84999999999997
1.5,1.5,0,1.79000000000002
1.5,1.5,0,2.32999999999998
1.25,1.25,0.25,1.45999999999998
1.5,1.5,0,1.56999999999999
1.5,1.5,0,2.29999999999995
1.25,1.25,0,2.02999999999997
1.25,1.25,0,2.77999999999997
1,1,0.25,1.81
1.75,1.75,0,3.31
1.5,1.5,0,1.83999999999997
1,1,0.25,2.06
1.25,1.25,0.25,2.23000000000002
1.25,1.25,0,2.70000000000005
1,1,0,1.63999999999999
1.25,1.25,0,1.44999999999999
1.5,1.5,0,1.77999999999997
1.5,1.5,0,1.63999999999999
1,1,0.25,2.37
2.25,2.25,0,1.88999999999999
1.25,1.25,0,3.04999999999995
1.5,1.5,0,3.07000000000005
1.25,1.25,0,1.79999999999995
1,1,0.25,1.77999999999997
1.75,1.75,0,2.48000000000002
1.25,1.25,0,1.82999999999993
1.25,1.25,0,1.52999999999997
1.25,1.25,0.25,1.63999999999999
1.25,1.25,0.25,1.65999999999997
1.25,1.25,0,1.03999999999996
1,1,0,1.63999999999999
1.5,1.5,0,2.82999999999993
1.5,1.5,0,1.52999999999997
1.5,1.5,0,2.29999999999995
1.25,1.25,0,1.52999999999997
2,2,0,1.57000000000005
1.5,1.5,0,2.46000000000004
1.25,1.25,0,1.18999999999994
1.75,1.75,0,1.75
1.25,1.25,0,1.63
1.5,1.5,0,2.31999999999994
1.25,1.25,0,1.25
1.25,1.25,0,1.08000000000004
1.25,1.25,0,1.47000000000003
1.25,1.25,0,1.53000000000009
1.25,1.25,0,1.40000000000009
1.5,1.5,0,1.49000000000001
1.5,1.5,0,1.38999999999999
1.75,1.75,0,1.10000000000002
1.25,1.25,0,1.2299999999999
1.5,1.5,0,1.47000000000003
1,1,0,1.46000000000004
1,1,0.25,1.49000000000001
1.25,1.25,0,1.41000000000008
