"outer_sum_original","outer_sum_radiusPenalty","det_rate","time_vector"
0.8,0.8,0.4,0.0999999999999091
0.8,0.8,0.6,0.0999999999999091
0.8,0.8,0.4,0.1099999999999
1.4,1.4,0.2,0.0599999999999454
0.6,0.6,0.4,0.0899999999999181
1,1,0.2,0.0800000000001546
1.4,1.4,0.2,0.0899999999999181
1,1,0.4,0.0899999999999181
0.8,0.8,0.4,0.0799999999999272
1.4,1.4,0.2,0.0799999999999272
1.4,1.4,0.2,0.1400000000001
1.4,1.4,0.6,0.120000000000118
1.8,1.8,0.2,0.110000000000127
1.2,1.2,0.2,0.130000000000109
1,1,0.4,0.1099999999999
1.4,1.4,0.2,0.0799999999999272
0.8,0.8,0.2,0.0899999999999181
0.4,0.4,0.8,0.110000000000127
0.8,0.8,0.4,0.139999999999873
1.6,1.6,0,0.170000000000073
0.4,0.4,0.8,0.119999999999891
0.6,0.6,0.6,0.130000000000109
1.6,1.6,0.4,0.0799999999999272
1,1,0.4,0.0699999999999363
1,1,0.2,0.110000000000127
1.2,1.2,0.2,0.110000000000127
1.2,1.2,0.2,0.110000000000127
1.2,1.2,0.4,0.0800000000001546
1.2,1.2,0.2,0.120000000000118
0.4,0.4,0.8,0.170000000000073
1.2,1.2,0.2,0.180000000000064
1.8,1.8,0.2,0.1099999999999
1.2,1.2,0.6,0.0699999999999363
0.6,0.6,0.6,0.0900000000001455
0.6,0.6,0.6,0.160000000000082
0.8,0.8,0.4,0.210000000000036
0.6,0.6,0.6,0.110000000000127
1.8,1.8,0.2,0.110000000000127
0.4,0.4,0.6,0.110000000000127
0.8,0.8,0.4,0.150000000000091
1.4,1.4,0.2,0.0499999999999545
0.8,0.8,0.4,0.0800000000001546
0.8,0.8,0.6,0.0899999999999181
0.8,0.8,0.6,0.0800000000001546
0.8,0.8,0.2,0.0700000000001637
0.6,0.6,0.6,0.169999999999845
1,1,0.2,0.0699999999999363
1,1,0.6,0.110000000000127
1,1,0.2,0.0800000000001546
0.8,0.8,0.4,0.0599999999999454
1,1,0.2,0.0599999999999454
1.2,1.2,0.4,0.0900000000001455
1.2,1.2,0.2,0.0799999999999272
1.2,1.2,0.2,0.0599999999999454
1.2,1.2,0.2,0.0900000000001455
0.8,0.8,0.6,0.0899999999999181
1.2,1.2,0.2,0.0799999999999272
0.8,0.8,0.4,0.160000000000082
0.8,0.8,0.2,0.0899999999999181
1.2,1.2,0.2,0.0899999999999181
0.4,0.4,0.6,0.0800000000001546
0.8,0.8,0.4,0.0899999999999181
1.2,1.2,0.2,0.0599999999999454
0.4,0.4,0.6,0.0900000000001455
1.6,1.6,0.2,0.0599999999999454
1.2,1.2,0.4,0.0599999999999454
1,1,0.4,0.110000000000127
1.2,1.2,0.2,0.120000000000118
1.4,1.4,0.2,0.110000000000127
1,1,0.2,0.110000000000127
1.2,1.2,0.4,0.0999999999999091
0.8,0.8,0.4,0.129999999999882
0.8,0.8,0.4,0.110000000000127
1.2,1.2,0,0.159999999999854
1,1,0.4,0.1400000000001
0.8,0.8,0.4,0.0800000000001546
1,1,0.2,0.119999999999891
1,1,0.4,0.0699999999999363
1,1,0.4,0.0899999999999181
0.8,0.8,0.4,0.0899999999999181
1.4,1.4,0.4,0.170000000000073
1.6,1.6,0,0.0899999999999181
1.2,1.2,0,0.1099999999999
1.4,1.4,0.2,0.0800000000001546
1,1,0,0.0799999999999272
1,1,0.4,0.129999999999882
1.4,1.4,0.2,0.139999999999873
1.2,1.2,0.2,0.0799999999999272
1.2,1.2,0.2,0.170000000000073
1,1,0.6,0.1099999999999
1,1,0.2,0.1099999999999
1,1,0.4,0.170000000000073
0.6,0.6,0.6,0.0899999999999181
0.8,0.8,0.2,0.0599999999999454
0.4,0.4,0.6,0.0599999999999454
1,1,0.4,0.100000000000136
0.8,0.8,0.4,0.0899999999999181
0.8,0.8,0.4,0.120000000000118
0.8,0.8,0.6,0.130000000000109
1,1,0.4,0.100000000000136
