"outer_sum_original","outer_sum_radiusPenalty","det_rate","time_vector"
0.75,0.75,0.25,0.1099999999999
1,1,0.25,0.1400000000001
0.75,0.75,0.25,0.190000000000055
1,1,0.25,0.300000000000182
1,1,0.5,0.1099999999999
1.25,1.25,0.25,0.110000000000127
0.75,0.75,0.5,0.110000000000127
0.75,0.75,0.5,0.0499999999999545
0.5,0.5,0.5,0.119999999999891
0.75,0.75,0.75,0.349999999999909
1.5,1.5,0.25,0.220000000000027
0.75,0.75,0.25,0.230000000000018
1,1,0,0.25
1,1,0.25,0.2199999999998
0.75,0.75,0.5,0.190000000000055
0.75,0.75,0.5,0.319999999999936
0.75,0.75,0.25,0.230000000000018
1,1,0.25,0.179999999999836
1.25,1.25,0.25,0.129999999999882
0.5,0.5,0.5,0.110000000000127
1,1,0.25,0.0999999999999091
1,1,0.25,0.0799999999999272
0.75,0.75,0.25,0.110000000000127
1,1,0.25,0.1099999999999
1.25,1.25,0.25,0.1400000000001
1.25,1.25,0.25,0.160000000000082
1.75,1.75,0.25,0.1400000000001
1,1,0.25,0.1099999999999
1.25,1.25,0.25,0.1099999999999
0.5,0.5,0.75,0.170000000000073
1,1,0,0.0899999999999181
1.25,1.25,0,0.0900000000001455
0.75,0.75,0.5,0.0799999999999272
0.5,0.5,0.75,0.119999999999891
1.25,1.25,0.25,0.130000000000109
1,1,0,0.0699999999999363
1.25,1.25,0,0.0899999999999181
1,1,0.25,0.0699999999999363
1,1,0.25,0.139999999999873
1.5,1.5,0.25,0.139999999999873
0,0,1,0.119999999999891
1.25,1.25,0.25,0.320000000000164
0.5,0.5,0.5,0.119999999999891
1,1,0.5,0.100000000000136
1.5,1.5,0,0.149999999999864
1,1,0,0.130000000000109
0.5,0.5,0.5,0.119999999999891
0.75,0.75,0.5,0.110000000000127
1.25,1.25,0,0.139999999999873
0.5,0.5,0.5,0.1099999999999
1,1,0.25,0.1099999999999
0.75,0.75,0.25,0.130000000000109
1,1,0.5,0.0899999999999181
1.25,1.25,0.25,0.100000000000136
0.75,0.75,0.75,0.129999999999882
0.75,0.75,0.5,0.110000000000127
1.25,1.25,0,0.0800000000001546
1,1,0.25,0.0899999999999181
1,1,0.25,0.0699999999999363
0.75,0.75,0.25,0.110000000000127
2.25,2.25,0.25,0.0999999999999091
1,1,0.25,0.110000000000127
0.5,0.5,0.75,0.1099999999999
1,1,0.25,0.100000000000136
1.75,1.75,0.25,0.169999999999845
1,1,0.25,0.100000000000136
1.25,1.25,0.25,0.139999999999873
1.5,1.5,0.25,0.110000000000127
1,1,0.25,0.0899999999999181
0.75,0.75,0.5,0.1400000000001
1.25,1.25,0.25,0.0399999999999636
1.25,1.25,0.25,0.0999999999999091
1,1,0.25,0.1400000000001
0.5,0.5,0.5,0.269999999999982
0.5,0.5,0.5,0.170000000000073
1,1,0.25,0.100000000000136
1,1,0.5,0.159999999999854
0.75,0.75,0.25,0.129999999999882
1,1,0,0.150000000000091
1,1,0,0.160000000000082
1.25,1.25,0.25,0.0999999999999091
0.75,0.75,0.5,0.110000000000127
1,1,0.25,0.119999999999891
1.25,1.25,0.25,0.1400000000001
0.75,0.75,0.25,0.0499999999999545
1.5,1.5,0.25,0.119999999999891
0.75,0.75,0.25,0.150000000000091
0.5,0.5,0.5,0.200000000000045
0.75,0.75,0.5,0.0799999999999272
1,1,0,0.130000000000109
0.5,0.5,0.5,0.0899999999999181
1.25,1.25,0.25,0.0899999999999181
1,1,0,0.100000000000136
0.75,0.75,0.25,0.1099999999999
1.5,1.5,0,0.100000000000136
1.25,1.25,0,0.0799999999999272
1,1,0.25,0.0899999999999181
1,1,0.25,0.0800000000001546
1.25,1.25,0,0.0799999999999272
1,1,0.5,0.170000000000073
