"","outer_sum_original","outer_sum_radiusPenalty","det_rate","time_vector"
"1",NA,NA,0.1,4.05
"2",NA,NA,0,3.46
"3",NA,NA,0,4.31
"4",NA,NA,0.3,1.44
"5",NA,NA,0.1,1.36
"6",NA,NA,0.2,2.8
"7",NA,NA,0.1,1.78
"8",NA,NA,0.2,2.52
"9",NA,NA,0.1,2.66
"10",NA,NA,0,2.78
"11",NA,NA,0.5,1.46
"12",NA,NA,0,2.88
"13",NA,NA,0.1,4.51
"14",NA,NA,0.2,2.92
"15",NA,NA,0.2,2.55
"16",NA,NA,0,0.759999999999998
"17",NA,NA,0,1.08000000000001
"18",NA,NA,0.2,1.87
"19",NA,NA,0.1,6.59
"20",NA,NA,0,1.75
"21",NA,NA,0.2,2.22
"22",NA,NA,0.2,1.38
"23",NA,NA,0.1,1.87
"24",NA,NA,0.1,2.01000000000001
"25",NA,NA,0.1,3.68000000000001
"26",NA,NA,0.4,1.42999999999999
"27",NA,NA,0.2,3.14
"28",NA,NA,0.1,2.14
"29",NA,NA,0,3.79000000000001
"30",NA,NA,0.2,3.17
"31",NA,NA,0,3.61
"32",NA,NA,0,4.83
"33",NA,NA,0.1,2.19
"34",NA,NA,0.1,3.69000000000001
"35",NA,NA,0.1,1.7
"36",NA,NA,0.1,2.09
"37",NA,NA,0.2,5.63000000000001
"38",NA,NA,0.2,2.31
"39",NA,NA,0.3,2.41
"40",NA,NA,0.1,1.22
"41",NA,NA,0.2,1.61
"42",NA,NA,0.1,2.47
"43",NA,NA,0.2,4.5
"44",NA,NA,0.3,2.44
"45",NA,NA,0.1,1.19
"46",NA,NA,0.1,2.74000000000001
"47",NA,NA,0,2.03
"48",NA,NA,0.1,2.5
"49",NA,NA,0.1,2.07999999999998
"50",NA,NA,0.2,1.06999999999999
"51",NA,NA,0,2.04999999999998
"52",NA,NA,0.1,2.57999999999998
"53",NA,NA,0.1,1.97
"54",NA,NA,0.2,2.50999999999999
"55",NA,NA,0.3,3.19
"56",NA,NA,0,2.03
"57",NA,NA,0,1.12
"58",NA,NA,0.1,2.31999999999999
"59",NA,NA,0.3,2.70000000000002
"60",NA,NA,0.1,1.76000000000002
"61",NA,NA,0.1,3.14000000000001
"62",NA,NA,0,4.56
"63",NA,NA,0.1,2.19
"64",NA,NA,0.2,3.48000000000002
"65",NA,NA,0.1,3.5
"66",NA,NA,0.1,1.67000000000002
"67",NA,NA,0.2,3.53
"68",NA,NA,0.2,2.28
"69",NA,NA,0.1,2.45000000000002
"70",NA,NA,0,1.83000000000001
"71",NA,NA,0.2,6.29999999999998
"72",NA,NA,0,15.14
"73",NA,NA,0,1.29999999999998
"74",NA,NA,0,8.75
"75",NA,NA,0.3,3.43000000000001
"76",NA,NA,0.1,3.54999999999998
"77",NA,NA,0.2,2.03
"78",NA,NA,0.1,2.86000000000001
"79",NA,NA,0,2.16
"80",NA,NA,0.2,2.19
"81",NA,NA,0.2,2.41
"82",NA,NA,0.3,2.16
"83",NA,NA,0,1.79000000000002
"84",NA,NA,0,1.44
"85",NA,NA,0.4,2.75999999999999
"86",NA,NA,0.1,3.73999999999998
"87",NA,NA,0.2,1.89000000000001
"88",NA,NA,0.1,5.38
"89",NA,NA,0.6,1.28000000000003
"90",NA,NA,0.1,2.17000000000002
"91",NA,NA,0.1,1.16000000000003
"92",NA,NA,0.1,1.33999999999997
"93",NA,NA,0.3,4.50999999999999
"94",NA,NA,0.1,2.01999999999998
"95",NA,NA,0.1,2.75
"96",NA,NA,0.1,8.33000000000004
"97",NA,NA,0.1,3.19
"98",NA,NA,0,2.31
"99",NA,NA,0,0.620000000000005
"100",NA,NA,0.3,3.33999999999997
