"outer_sum_original","outer_sum_radiusPenalty","det_rate","time_vector"
1.5,1.5,0,1.2
1,1,0,0.91
1,1,0,1.04
1.5,1.5,0,1.12
2,2,0,4.43
1.5,1.5,0,1.23
1.5,1.5,0,0.759999999999998
2,2,0,2.5
2,2,0,3.09
1,1,0,1
1.5,1.5,0,1.13999999999999
1,1,0,2.26
1.5,1.5,0,2.31
1,1,0,2.44
1.5,1.5,0,6.09
1.5,1.5,0,1.16
1,1,0,1.75000000000001
1.5,1.5,0,1.06
1.5,1.5,0,5.72
1.5,1.5,0,4.08999999999999
1.5,1.5,0,6.89
1,1,0,2.17999999999999
1,1,0,2.75999999999999
1.5,1.5,0,2.89999999999999
1.5,1.5,0,5.14
1.5,1.5,0,5.25
1.5,1.5,0,2.86
1.5,1.5,0,1.30999999999999
1.5,1.5,0,5.64
1,1,0,1.91000000000001
1.5,1.5,0,4.17
1,1,0,0.670000000000002
1.5,1.5,0,0.660000000000011
1.5,1.5,0,1.69
1.5,1.5,0,1.95
1.5,1.5,0,1.31
1.5,1.5,0,2.72999999999999
1.5,1.5,0,0.859999999999985
1.5,1.5,0,1.75
1.5,1.5,0,1.53999999999999
1,1,0,1.58000000000001
1.5,1.5,0,1.81
1.5,1.5,0,1.31
1.5,1.5,0,1.76000000000002
1,1,0,1.78
1,1,0,10.27
1,1,0,1.54999999999998
1.5,1.5,0,0.870000000000005
1.5,1.5,0,1.85999999999999
1,1,0,5.09999999999999
1.5,1.5,0,1.73999999999998
1,1,0,3.50999999999999
1.5,1.5,0,2.60999999999999
1,1,0,3.72
2,2,0,4.06
1,1,0,1.70999999999998
1,1,0,1.81
1.5,1.5,0,1.31
1,1,0,1.72999999999999
1,1,0,1.59
1.5,1.5,0,2.19
1.5,1.5,0,2.84
1.5,1.5,0,2.76000000000002
1.5,1.5,0,2.47
1.5,1.5,0,2.23000000000002
1.5,1.5,0,3.09
0.5,0.5,0.5,4.15000000000001
1,1,0,1.32999999999998
1,1,0,1.38
1.5,1.5,0,3.11000000000001
2,2,0,1.90000000000001
1,1,0,1.84
1.5,1.5,0,5.89000000000001
1.5,1.5,0,2.53999999999999
1,1,0.5,3.61000000000001
1.5,1.5,0,2.17999999999998
2.5,2.5,0,3.22999999999999
1,1,0,1.59
2,2,0,1.77000000000001
1.5,1.5,0,0.75
1,1,0,2.38999999999999
1.5,1.5,0,1.44
1.5,1.5,0,1.38999999999999
1,1,0,1.41999999999999
1,1,0,1.81999999999999
1,1,0,2.29999999999998
1.5,1.5,0,3.41999999999999
1.5,1.5,0,2.04999999999998
1,1,0,1.86000000000001
1,1,0,1.84999999999997
2,2,0,9.76999999999998
1.5,1.5,0,4.45000000000005
1,1,0,1.06999999999999
2,2,0,2.88
1,1,0,1.43000000000001
1,1,0,2.25
1.5,1.5,0,1.78000000000003
1.5,1.5,0,1.88999999999999
1,1,0,1.22000000000003
1.5,1.5,0,1.72000000000003
