"outer_sum_original","outer_sum_radiusPenalty","det_rate","time_vector"
0.75,0.75,0.5,0.0999999999999091
1,1,0.25,0.0699999999999363
0.75,0.75,0.25,0.0399999999999636
1,1,0.25,0.0799999999999272
1,1,0.25,0.0599999999999454
1.5,1.5,0.25,0.0699999999999363
0.5,0.5,0.5,0.119999999999891
0.75,0.75,0.5,0.130000000000109
0.75,0.75,0.5,0.110000000000127
1,1,0.5,0.110000000000127
1.25,1.25,0.25,0.0499999999999545
1.5,1.5,0.25,0.0599999999999454
1,1,0.25,0.1400000000001
0.25,0.25,0.75,0.0599999999999454
1,1,0.5,0.0499999999999545
1.5,1.5,0,0.0699999999999363
1,1,0.25,0.0899999999999181
1.5,1.5,0.25,0.0800000000001546
1.5,1.5,0.25,0.0800000000001546
1,1,0.5,0.0700000000001637
1.25,1.25,0.5,0.130000000000109
0.25,0.25,0.75,0.0899999999999181
1,1,0.5,0.130000000000109
0.5,0.5,0.75,0.1099999999999
1,1,0.25,0.0799999999999272
1,1,0.5,0.110000000000127
1.25,1.25,0.5,0.0799999999999272
0.75,0.75,0.5,0.100000000000136
1,1,0.5,0.130000000000109
1.25,1.25,0.5,0.0799999999999272
0.75,0.75,0.5,0.130000000000109
1,1,0.5,0.0899999999999181
1.5,1.5,0.25,0.0899999999999181
1.5,1.5,0.25,0.120000000000118
0.75,0.75,0.5,0.0799999999999272
1,1,0.25,0.110000000000127
2.25,2.25,0,0.129999999999882
1.75,1.75,0.5,0.110000000000127
0.75,0.75,0.5,0.0999999999999091
0.5,0.5,0.75,0.259999999999991
0.25,0.25,0.75,0.170000000000073
0.75,0.75,0.5,0.220000000000027
0.75,0.75,0.5,0.110000000000127
1,1,0.5,0.1400000000001
0.25,0.25,0.75,0.139999999999873
1,1,0.25,0.169999999999845
1,1,0.25,0.1400000000001
1,1,0.5,0.1400000000001
0.75,0.75,0.5,0.110000000000127
1,1,0.5,0.119999999999891
1.5,1.5,0,0.0799999999999272
0.5,0.5,0.5,0.0599999999999454
0.75,0.75,0.5,0.100000000000136
1.5,1.5,0.25,0.139999999999873
1,1,0.25,0.110000000000127
1.5,1.5,0.5,0.0799999999999272
1.25,1.25,0.25,0.0799999999999272
1.25,1.25,0.25,0.0700000000001637
0.5,0.5,0.75,0.120000000000118
0.75,0.75,0.5,0.0699999999999363
0.5,0.5,0.75,0.0699999999999363
0.75,0.75,0.5,0.0599999999999454
0.5,0.5,0.75,0.0700000000001637
0.75,0.75,0.25,0.0800000000001546
1.25,1.25,0.25,0.110000000000127
0.75,0.75,0.5,0.0799999999999272
1,1,0.25,0.1099999999999
1.25,1.25,0.25,0.0800000000001546
0.25,0.25,0.75,0.0600000000001728
1.25,1.25,0.25,0.0900000000001455
0.5,0.5,0.5,0.0599999999999454
1,1,0.25,0.0599999999999454
0.75,0.75,0.5,0.0599999999999454
1,1,0.5,0.0699999999999363
1.25,1.25,0.25,0.0499999999999545
1,1,0.5,0.0499999999999545
1.25,1.25,0.25,0.0999999999999091
0.25,0.25,0.75,0.1099999999999
1,1,0.25,0.0700000000001637
0.75,0.75,0.5,0.0899999999999181
1,1,0.25,0.1099999999999
0.75,0.75,0.5,0.120000000000118
1,1,0.5,0.110000000000127
1,1,0.25,0.0699999999999363
0.75,0.75,0.5,0.0699999999999363
1.25,1.25,0.25,0.0699999999999363
0.5,0.5,0.75,0.0899999999999181
0.5,0.5,0.75,0.0399999999999636
0.75,0.75,0.5,0.0399999999999636
1,1,0.5,0.0599999999999454
1,1,0.25,0.110000000000127
1,1,0.5,0.120000000000118
1,1,0.5,0.0799999999999272
0.75,0.75,0.25,0.0799999999999272
1.5,1.5,0.5,0.0599999999999454
1.25,1.25,0,0.0899999999999181
0.5,0.5,0.75,0.0599999999999454
0.5,0.5,0.75,0.110000000000127
1.75,1.75,0.25,0.0600000000001728
0.5,0.5,0.75,0.0900000000001455
