"","outer_sum_original","outer_sum_radiusPenalty","det_rate","time_vector"
"1",NA,NA,0.3,56.6
"2",NA,NA,0.3,38.58
"3",NA,NA,0.4,43.32
"4",NA,NA,0.1,18.91
"5",NA,NA,0.5,12.44
"6",NA,NA,0,42.36
"7",NA,NA,0.3,16.36
"8",NA,NA,0.2,16.95
"9",NA,NA,0,62.16
"10",NA,NA,0.3,24.55
"11",NA,NA,0.2,23.97
"12",NA,NA,0.1,17.71
"13",NA,NA,0,32.7
"14",NA,NA,0.3,23.98
"15",NA,NA,0.3,37.1
"16",NA,NA,0,27.21
"17",NA,NA,0.3,28.63
"18",NA,NA,0.3,13.05
"19",NA,NA,0,37.0799999999999
"20",NA,NA,0.3,14.2
"21",NA,NA,0.2,18.7800000000001
"22",NA,NA,0.1,18.0700000000001
"23",NA,NA,0.3,22.45
"24",NA,NA,0.4,11.34
"25",NA,NA,0,45.9100000000001
"26",NA,NA,0.4,14.5500000000001
"27",NA,NA,0.3,31.13
"28",NA,NA,0.3,28.9200000000001
"29",NA,NA,0.3,56.8100000000001
"30",NA,NA,0.3,27.53
"31",NA,NA,0.3,26.6899999999999
"32",NA,NA,0.2,45.59
"33",NA,NA,0.3,32.97
"34",NA,NA,0.1,116.66
"35",NA,NA,0.3,21.3599999999999
"36",NA,NA,0.3,34.53
"37",NA,NA,0.3,45.5699999999999
"38",NA,NA,0.1,20.0800000000002
"39",NA,NA,0.1,47.9200000000001
"40",NA,NA,0.2,15.6600000000001
"41",NA,NA,0,38.5800000000002
"42",NA,NA,0.2,24.73
"43",NA,NA,0,98.97
"44",NA,NA,0.1,17.9300000000001
"45",NA,NA,0.3,30.3100000000002
"46",NA,NA,0,82.6400000000001
"47",NA,NA,0.4,25.3600000000001
"48",NA,NA,0.1,73.99
"49",NA,NA,0.3,41.1900000000001
"50",NA,NA,0.4,16.53
"51",NA,NA,0.3,25.1199999999999
"52",NA,NA,0.1,38.1900000000001
"53",NA,NA,0.1,59.51
"54",NA,NA,0.3,51.01
"55",NA,NA,0,44.6700000000001
"56",NA,NA,0.4,35.3
"57",NA,NA,0.4,34.8399999999999
"58",NA,NA,0.1,75.0600000000002
"59",NA,NA,0.1,115.69
"60",NA,NA,0.3,28.6399999999999
"61",NA,NA,0.3,38.3299999999999
"62",NA,NA,0.1,42.3599999999997
"63",NA,NA,0.3,35.4900000000002
"64",NA,NA,0.2,35.3800000000001
"65",NA,NA,0.3,49.23
"66",NA,NA,0.3,16.6799999999998
"67",NA,NA,0.4,20.02
"68",NA,NA,0.2,14.9499999999998
"69",NA,NA,0.1,20.3200000000002
"70",NA,NA,0.2,22.7600000000002
"71",NA,NA,0.1,113.86
"72",NA,NA,0.1,72.0700000000002
"73",NA,NA,0.3,24.48
"74",NA,NA,0.2,78.7399999999998
"75",NA,NA,0.5,13.0700000000002
"76",NA,NA,0.1,85.8399999999997
"77",NA,NA,0.1,37.0499999999997
"78",NA,NA,0.3,24.5100000000002
"79",NA,NA,0.4,10.1799999999998
"80",NA,NA,0.4,24.5800000000004
"81",NA,NA,0.2,13.4400000000001
"82",NA,NA,0,17.3599999999997
"83",NA,NA,0.3,11.4699999999998
"84",NA,NA,0.3,23.1399999999999
"85",NA,NA,0.1,28.02
"86",NA,NA,0.3,37.1100000000001
"87",NA,NA,0,18.98
"88",NA,NA,0.1,29.8099999999999
"89",NA,NA,0.5,11.0299999999997
"90",NA,NA,0.2,20.3900000000003
"91",NA,NA,0.3,8.98999999999978
"92",NA,NA,0,16.98
"93",NA,NA,0,93.7800000000002
"94",NA,NA,0.5,21.4700000000003
"95",NA,NA,0.2,29.5599999999999
"96",NA,NA,0.1,53.6199999999999
"97",NA,NA,0.2,49.5
"98",NA,NA,0.3,30.54
"99",NA,NA,0.4,8.86000000000013
"100",NA,NA,0.2,37.7599999999998
