"","outer_sum_original","outer_sum_radiusPenalty","seeds_no","f1","prec","rec","mcc","det_rate","time_vector","TP","TN","FP","FN","TPR","FPR","PPV","aucroc","aucpr","negf1","AR"
"1",NA,NA,9,0.782608695652174,1,0.642857142857143,0.792405815693061,0.642857142857143,8.78999999999996,9,210,0,5,0.642857142857143,0,1,0.821428571428571,0.678571428571429,0.988235294117647,0.873483535528596
"2",NA,NA,12,0.923076923076923,1,0.857142857142857,0.921400885519834,0.857142857142857,5.72000000000003,12,208,0,2,0.857142857142857,0,1,0.928571428571429,0.571428571428571,0.995215311004785,0.957789716039908
"3",NA,NA,11,0.8,0.909090909090909,0.714285714285714,0.798056245736885,0.714285714285714,5.69999999999982,10,298,1,4,0.714285714285714,0.00334448160535117,0.909090909090909,0.855470616340182,0.597402597402597,0.991680532445923,0.885586924219911
"4",NA,NA,11,0.72,0.818181818181818,0.642857142857143,0.711796229579327,0.642857142857143,8.54999999999995,9,245,2,5,0.642857142857143,0.00809716599190283,0.818181818181818,0.81737998843262,0.587662337662338,0.985915492957746,0.83223249669749
"5",NA,NA,10,0.75,0.9,0.642857142857143,0.749972564885586,0.642857142857143,8,9,250,1,5,0.642857142857143,0.00398406374501992,0.9,0.819436539556061,0.628571428571429,0.988142292490119,0.852757248436612
"6",NA,NA,11,0.8,0.909090909090909,0.714285714285714,0.798354124011709,0.714285714285714,9.2199999999998,10,310,1,4,0.714285714285714,0.00321543408360129,0.909090909090909,0.855535140101057,0.597402597402597,0.992,0.885714285714286
"7",NA,NA,12,0.769230769230769,0.833333333333333,0.714285714285714,0.760821949505953,0.714285714285714,9.21000000000004,10,271,2,4,0.714285714285714,0.00732600732600733,0.833333333333333,0.853479853479854,0.55952380952381,0.989051094890511,0.865399968066422
"8",NA,NA,11,0.8,0.909090909090909,0.714285714285714,0.798448403226027,0.714285714285714,9.25999999999999,10,314,1,4,0.714285714285714,0.00317460317460317,0.909090909090909,0.855555555555556,0.597402597402597,0.992101105845182,0.885754583921016
"9",NA,NA,10,0.75,0.9,0.642857142857143,0.749349194105896,0.642857142857143,5.13999999999987,9,236,1,5,0.642857142857143,0.00421940928270042,0.9,0.819318866787221,0.628571428571429,0.98744769874477,0.852498494882601
"10",NA,NA,10,0.833333333333333,1,0.714285714285714,0.839575617824334,0.714285714285714,5.28999999999996,10,300,0,4,0.714285714285714,0,1,0.857142857142857,0.642857142857143,0.993377483443709,0.906344410876133
"11",NA,NA,11,0.8,0.909090909090909,0.714285714285714,0.797816763261736,0.714285714285714,8.93000000000006,10,289,1,4,0.714285714285714,0.00344827586206897,0.909090909090909,0.855418719211823,0.597402597402597,0.991423670668954,0.885484488701647
"12",NA,NA,11,0.8,0.909090909090909,0.714285714285714,0.797789239309948,0.714285714285714,5.78999999999996,10,288,1,4,0.714285714285714,0.00346020761245675,0.909090909090909,0.855412753336629,0.597402597402597,0.991394148020654,0.885472713297463
"13",NA,NA,11,0.72,0.818181818181818,0.642857142857143,0.71105481408744,0.642857142857143,5.50999999999999,9,232,2,5,0.642857142857143,0.00854700854700855,0.818181818181818,0.817155067155067,0.587662337662338,0.985138004246285,0.831955374041239
"14",NA,NA,10,0.833333333333333,1,0.714285714285714,0.837328583854842,0.714285714285714,6.82999999999993,10,213,0,4,0.714285714285714,0,1,0.857142857142857,0.642857142857143,0.990697674418605,0.905227369315767
"15",NA,NA,10,0.75,0.9,0.642857142857143,0.748595036408953,0.642857142857143,4.64999999999986,9,221,1,5,0.642857142857143,0.0045045045045045,0.9,0.819176319176319,0.628571428571429,0.986607142857143,0.852185089974293
"16",NA,NA,10,0.833333333333333,1,0.714285714285714,0.840392784418529,0.714285714285714,9.1099999999999,10,352,0,4,0.714285714285714,0,1,0.857142857142857,0.642857142857143,0.994350282485876,0.906749098402885
"17",NA,NA,11,0.72,0.818181818181818,0.642857142857143,0.71157649116093,0.642857142857143,6.13999999999987,9,241,2,5,0.642857142857143,0.00823045267489712,0.818181818181818,0.817313345091123,0.587662337662338,0.985685071574642,0.83215039324765
"18",NA,NA,10,0.583333333333333,0.7,0.5,0.577319834934528,0.5,5.61000000000013,7,326,3,7,0.5,0.00911854103343465,0.7,0.745440729483283,0.6,0.984894259818731,0.732701878311125
"19",NA,NA,9,0.608695652173913,0.777777777777778,0.5,0.609820913461443,0.5,6.21000000000004,7,289,2,7,0.5,0.00687285223367698,0.777777777777778,0.746563573883162,0.638888888888889,0.984667802385009,0.752324284120491
"20",NA,NA,13,0.814814814814815,0.846153846153846,0.785714285714286,0.807247063668932,0.785714285714286,8.66000000000008,11,303,2,3,0.785714285714286,0.00655737704918033,0.846153846153846,0.889578454332553,0.53021978021978,0.991816693944354,0.894645014092068
"21",NA,NA,12,0.923076923076923,1,0.857142857142857,0.922654893585484,0.857142857142857,5.95000000000005,12,291,0,2,0.857142857142857,0,1,0.928571428571429,0.571428571428571,0.996575342465754,0.958419102511322
"22",NA,NA,11,0.88,1,0.785714285714286,0.881744026048676,0.785714285714286,5.8599999999999,11,283,0,3,0.785714285714286,0,1,0.892857142857143,0.607142857142857,0.994727592267135,0.933853307334633
"23",NA,NA,10,0.75,0.9,0.642857142857143,0.752013626804583,0.642857142857143,5.75,9,310,1,5,0.642857142857143,0.00321543408360129,0.9,0.819820854386771,0.628571428571429,0.990415335463259,0.853602569986232
