,outer_sum_original,outer_sum_radiusPenalty,seeds_no,f1,prec,rec,mcc,det_rate,time_vector,TP,TN,FP,FN,TPR,FPR,Prec..PPV.,aucroc,aucpr,negf1,AR
1,1,1,2,0.5,0.5,0.5,0.491525424,0.5,0.94,1,117,1,1,0.5,0.008474576,0.5,0.745762712,0.5,0.991525424,0.664772727
2,1,3,3,0,0,0,-0.018486847,0,0.85,0,130,3,2,0,0.022556391,0,0.488721805,0.5,0.981132075,0
3,1.5,1.5,2,0,0,0,-0.015384615,0,0.78,0,128,2,2,0,0.015384615,0,0.492307693,0.5,0.984615385,0
4,0.5,2.5,1,0,0,0,-0.011091956,0,0.78,0,126,1,2,0,0.007874016,0,0.496062992,0.5,0.988235294,0
5,2,8,4,0,0,0,-0.015713727,0,0.86,0,177,4,2,0,0.022099448,0,0.488950276,0.5,0.983333333,0
6,1,7,5,0,0,0,-0.024420771,0,0.97,0,126,5,2,0,0.038167939,0,0.480916031,0.5,0.972972973,0
7,1,5,4,0,0,0,-0.024595948,0,0.79,0,112,4,2,0,0.034482759,0,0.482758621,0.5,0.973913043,0
8,1,13,6,0,0,0,-0.025288108,0,0.77,0,133,6,2,0,0.043165468,0,0.478417266,0.5,0.97080292,0
9,1.5,4.5,3,0,0,0,-0.015167192,0,0.73,0,159,3,2,0,0.018518519,0,0.490740741,0.5,0.984520124,0
10,1,1,2,0,0,0,-0.017699115,0,0.69,0,111,2,2,0,0.017699115,0,0.491150443,0.5,0.982300885,0
11,2.5,2.5,2,0,0,0,-0.014285714,0,0.76,0,138,2,2,0,0.014285714,0,0.492857143,0.5,0.985714286,0
12,2,2,2,0,0,0,-0.013333333,0,0.77,0,148,2,2,0,0.013333333,0,0.493333334,0.5,0.986666667,0
13,1,10,5,0,0,0,-0.021440279,0,0.71,0,144,5,2,0,0.033557047,0,0.483221477,0.5,0.976271186,0
14,1.5,7.5,4,0,0,0,-0.016638094,0,0.73,0,167,4,2,0,0.023391813,0,0.488304094,0.5,0.982352941,0
15,1,7,4,0.333333333,0.25,0.5,0.341853821,0.5,0.72,1,149,3,1,0.5,0.019736842,0.25,0.740131579,0.375,0.986754967,0.498327759
16,0.5,2.5,3,0.4,0.333333333,0.5,0.395083186,0.5,0.69,1,107,2,1,0.5,0.018348624,0.333333333,0.740825688,0.416666667,0.986175115,0.569148936
17,2,6,4,0,0,0,-0.017901796,0,0.7,0,155,4,2,0,0.025157233,0,0.487421384,0.5,0.981012658,0
18,1.5,1.5,2,0,0,0,-0.015873016,0,0.71,0,124,2,2,0,0.015873016,0,0.492063492,0.5,0.984126984,0
19,1.5,4.5,3,0,0,0,-0.013495862,0,0.72,0,179,3,2,0,0.016483516,0,0.491758242,0.5,0.986225895,0
20,1,5,4,0,0,0,-0.017459759,0,0.77,0,159,4,2,0,0.024539877,0,0.487730062,0.5,0.981481481,0
21,1.5,7.5,5,0,0,0,-0.019224372,0,0.7,0,161,5,2,0,0.030120482,0,0.484939759,0.5,0.978723404,0
22,1.5,7.5,5,0,0,0,-0.019703525,0,0.69,0,157,5,2,0,0.030864198,0,0.484567901,0.5,0.978193146,0
23,1.5,10.5,5,0,0,0,-0.021735022,0,0.73,0,142,5,2,0,0.034013605,0,0.482993198,0.5,0.975945017,0
24,1.5,3.5,3,0,0,0,-0.015552394,0,0.77,0,155,3,2,0,0.018987342,0,0.490506329,0.5,0.984126984,0
25,2,5,3,0,0,0,-0.013570632,0,0.8,0,178,3,2,0,0.016574586,0,0.491712707,0.5,0.986149584,0
26,2,11,5,0,0,0,-0.017233697,0,0.73,0,180,5,2,0,0.027027027,0,0.486486487,0.5,0.980926431,0
27,1.5,3.5,3,0,0,0,-0.017559179,0,0.7,0,137,3,2,0,0.021428571,0,0.489285715,0.5,0.982078853,0
28,1,4,3,0,0,0,-0.018770174,0,0.98,0,128,3,2,0,0.022900763,0,0.488549619,0.5,0.980842912,0
29,1,4,3,0.4,0.333333333,0.5,0.400333655,0.5,0.97,1,179,2,1,0.5,0.011049724,0.333333333,0.744475138,0.416666667,0.991689751,0.570063694
30,1,7,5,0,0,0,-0.021735022,0,0.86,0,142,5,2,0,0.034013605,0,0.482993198,0.5,0.975945017,0
31,1.5,10.5,5,0,0,0,-0.017816285,0,0.81,0,174,5,2,0,0.027932961,0,0.48603352,0.5,0.98028169,0
32,0,2,1,0.666666667,1,0.5,0.703562364,0.5,0.86,1,99,0,1,0.5,0,1,0.75,0.75,0.994974874,0.798387097
33,1.5,4.5,3,0,0,0,-0.025123302,0,0.78,0,95,3,2,0,0.030612245,0,0.484693878,0.5,0.974358974,0
34,2,2,2,0,0,0,-0.014084507,0,0.83,0,140,2,2,0,0.014084507,0,0.492957747,0.5,0.985915493,0
35,1,5,4,0,0,0,-0.022628141,0,0.84,0,122,4,2,0,0.031746032,0,0.484126984,0.5,0.976,0
36,1,3,3,0,0,0,-0.020670984,0,1,0,116,3,2,0,0.025210084,0,0.487394958,0.5,0.978902954,0
37,1,10,5,0,0,0,-0.021885454,0,1.08,0,141,5,2,0,0.034246575,0,0.482876713,0.5,0.975778547,0
38,1,1,2,0.5,0.5,0.5,0.48989899,0.5,0.91,1,98,1,1,0.5,0.01010101,0.5,0.744949495,0.5,0.98989899,0.66440678
39,1.5,3.5,3,0,0,0,-0.022370003,0,0.92,0,107,3,2,0,0.027272727,0,0.486363637,0.5,0.97716895,0
40,0.5,8.5,6,0.25,0.166666667,0.5,0.27243877,0.5,0.78,1,139,5,1,0.5,0.034722222,0.166666667,0.732638889,0.333333334,0.978873239,0.398280802
41,0.5,0.5,2,0.5,0.5,0.5,0.492,0.5,0.75,1,124,1,1,0.5,0.008,0.5,0.746,0.5,0.992,0.664879357
42,1.5,7.5,4,0,0,0,-0.019241446,0,0.72,0,144,4,2,0,0.027027027,0,0.486486487,0.5,0.979591837,0
43,0.5,2.5,1,0,0,0,-0.010673386,0,0.83,0,131,1,2,0,0.007575758,0,0.496212121,0.5,0.988679245,0
44,0.5,2.5,1,0,0,0,-0.010754554,0,0.95,0,130,1,2,0,0.007633588,0,0.496183206,0.5,0.988593156,0
45,1,9,6,0,0,0,-0.026048822,0,0.97,0,129,6,2,0,0.044444444,0,0.477777778,0.5,0.969924812,0
46,0.5,9.5,5,0.285714286,0.2,0.5,0.30452675,0.5,0.94,1,173,4,1,0.5,0.02259887,0.2,0.738700565,0.35,0.985754986,0.443021767
47,0,3,1,0.666666667,1,0.5,0.704540142,0.5,0.79,1,137,0,1,0.5,0,1,0.75,0.75,0.996363636,0.798833819
48,2,2,2,0,0,0,-0.02,0,0.75,0,98,2,2,0,0.02,0,0.49,0.5,0.98,0
49,1.5,5.5,4,0,0,0,-0.01735264,0,1.08,0,160,4,2,0,0.024390244,0,0.487804878,0.5,0.981595092,0
50,1.5,10.5,5,0,0,0,-0.020874143,0,0.91,0,148,5,2,0,0.032679739,0,0.483660131,0.5,0.97689769,0
