"","outer_sum_original","outer_sum_radiusPenalty","seeds_no","f1","prec","rec","mcc","det_rate","time_vector","TP","TN","FP","FN","TPR","FPR","Prec..PPV.","aucroc","aucpr","negf1","AR"
"1",1.333333333,7.333333333,5,0,0,0,-0.025993762,0,0.9,0,145,5,3,0,0.033333333,0,0.4833333335,0.5,0.973154362416107,0
"2",1.333333333,1.333333333,3,0,0,0,-0.016666667,0,0.84,0,177,3,3,0,0.016666667,0,0.4916666665,0.5,0.983333333333333,0
"3",1.333333333,1.333333333,3,0,0,0,-0.020134228,0,0.88,0,146,3,3,0,0.020134228,0,0.489932886,0.5,0.979865771812081,0
"4",1.333333333,4.333333333,4,0,0,0,-0.020081833,0,0.81,0,169,4,3,0,0.023121387,0,0.4884393065,0.5,0.979710144927536,0
"5",1.666666667,1.666666667,3,0,0,0,-0.020547945,0,0.74,0,143,3,3,0,0.020547945,0,0.4897260275,0.5,0.979452054794521,0
"6",0.666666667,6.666666667,5,0.25,0.2,0.333333333,0.23988009,0.333333333,0.78,1,152,4,2,0.333333333,0.025641026,0.2,0.6538461535,0.4333333335,0.980645161290323,0.398427260812582
"7",1,1,3,0.333333333,0.333333333,0.333333333,0.319910515,0.333333333,0.78,1,147,2,2,0.333333333,0.013422819,0.333333333,0.659955257,0.5,0.986577181208054,0.498305084373301
"8",1.333333333,3.333333333,4,0.285714286,0.25,0.333333333,0.27226369,0.333333333,0.89,1,147,3,2,0.333333333,0.02,0.25,0.6566666665,0.4583333335,0.983277591973244,0.44277108468043
"9",1,4,2,0,0,0,-0.0142,0,0.94,0,170,2,3,0,0.011627907,0,0.4941860465,0.5,0.985507246376811,0
"10",0.666666667,3.666666667,4,0.285714286,0.25,0.333333333,0.264017778,0.333333333,0.83,1,97,3,2,0.333333333,0.03,0.25,0.6516666665,0.4583333335,0.974874371859296,0.441913439977288
"11",1.333333333,4.333333333,4,0,0,0,-0.021583292,0,0.8,0,157,4,3,0,0.02484472,0,0.48757764,0.5,0.978193146417445,0
"12",1.666666667,10.66666667,6,0,0,0,-0.025330214,0,0.77,0,163,6,3,0,0.035502959,0,0.4822485205,0.5,0.973134328358209,0
"13",1.333333333,4.333333333,4,0,0,0,-0.019516143,0,0.72,0,174,4,3,0,0.02247191,0,0.488764045,0.5,0.980281690140845,0
"14",0.666666667,4.666666667,5,0.25,0.2,0.333333333,0.237772037,0.333333333,0.74,1,136,4,2,0.333333333,0.028571429,0.2,0.652380952,0.4333333335,0.97841726618705,0.398243045387994
"15",2,2,3,0,0,0,-0.017241379,0,0.72,0,171,3,3,0,0.017241379,0,0.4913793105,0.5,0.982758620689655,0
"16",2,2,3,0.333333333,0.333333333,0.333333333,0.318518519,0.333333333,0.73,1,133,2,2,0.333333333,0.014814815,0.333333333,0.659259259,0.5,0.985185185185185,0.498127340451774
"17",2,6,5,0,0,0,-0.026347435,0,0.9,0,143,5,3,0,0.033783784,0,0.483108108,0.5,0.972789115646258,0
"18",1.333333333,1.333333333,3,0,0,0,-0.01910828,0,0.83,0,154,3,3,0,0.01910828,0,0.49044586,0.5,0.980891719745223,0
"19",1.333333333,4.333333333,4,0,0,0,-0.020198929,0,0.86,0,168,4,3,0,0.023255814,0,0.488372093,0.5,0.979591836734694,0
"20",1.333333333,7.333333333,6,0,0,0,-0.031083494,0,1.08,0,132,6,3,0,0.043478261,0,0.4782608695,0.5,0.967032967032967,0
"21",1.333333333,7.333333333,5,0,0,0,-0.021758677,0,0.84,0,174,5,3,0,0.027932961,0,0.4860335195,0.5,0.97752808988764,0
"22",2,5,4,0,0,0,-0.0255655,0,0.81,0,132,4,3,0,0.029411765,0,0.4852941175,0.5,0.974169741697417,0
"23",1.666666667,7.666666667,5,0,0,0,-0.025649459,0,0.75,0,147,5,3,0,0.032894737,0,0.4835526315,0.5,0.973509933774834,0
"24",1,9,7,0,0,0,-0.03117687,0,0.73,0,142,7,3,0,0.046979866,0,0.476510067,0.5,0.965986394557823,0
"25",1.666666667,5.666666667,5,0,0,0,-0.025149773,0,0.73,0,150,5,3,0,0.032258065,0,0.4838709675,0.5,0.974025974025974,0
"26",1.333333333,4.333333333,2,0,0,0,-0.0142828,0,0.75,0,169,2,3,0,0.011695906,0,0.494152047,0.5,0.985422740524781,0
"27",1.666666667,1.666666667,3,0,0,0,-0.017964072,0,0.79,0,164,3,3,0,0.017964072,0,0.491017964,0.5,0.982035928143713,0
"28",1.333333333,3.333333333,4,0.285714286,0.25,0.333333333,0.272997687,0.333333333,0.85,1,154,3,2,0.333333333,0.01910828,0.25,0.6571125265,0.4583333335,0.984025559105431,0.442846873096613
"29",2.333333333,2.333333333,3,0,0,0,-0.016759777,0,0.86,0,176,3,3,0,0.016759777,0,0.4916201115,0.5,0.983240223463687,0
"30",1.666666667,7.666666667,5,0,0,0,-0.025820463,0,0.8,0,146,5,3,0,0.033112583,0,0.4834437085,0.5,0.973333333333333,0
"31",1.333333333,3.333333333,4,0,0,0,-0.023017414,0,0.73,0,147,4,3,0,0.026490066,0,0.486754967,0.5,0.976744186046512,0
"32",1.333333333,4.333333333,4,0,0,0,-0.020437267,0,0.81,0,166,4,3,0,0.023529412,0,0.488235294,0.5,0.979351032448378,0
"33",0.666666667,9.666666667,6,0.222222222,0.166666667,0.333333333,0.216367909,0.333333333,0.73,1,161,5,2,0.333333333,0.030120482,0.166666667,0.6516064255,0.416666667,0.978723404255319,0.362204724114266
"34",0.333333333,3.333333333,2,0.4,0.5,0.333333333,0.397385239,0.333333333,0.72,1,130,1,2,0.333333333,0.007633588,0.5,0.6628498725,0.5833333335,0.988593155893536,0.569550930996714
