"","outer_sum_original","outer_sum_radiusPenalty","seeds_no","f1","prec","rec","mcc","det_rate","time_vector","TP","TN","FP","FN","TPR","FPR","Prec..PPV.","aucroc","aucpr","negf1","AR"
"1",0.5,2.5,3,0.4,0.333333333,0.5,0.309889893,0.5,0.03,1,13,2,1,0.5,0.133333333,0.333333333,0.6833333335,0.4166666665,0.896551724137931,0.553191489361702
"2",0,0,2,1,1,1,1,1,0.03,2,19,0,0,1,0,1,1,0.5,1,1
"3",0,2,1,0.666666667,1,0.5,0.683130051,0.5,0.01,1,14,0,1,0.5,0,1,0.75,0.75,0.96551724137931,0.788732394599484
"4",0.5,0.5,2,0.5,0.5,0.5,0.4375,0.5,0.03,1,15,1,1,0.5,0.0625,0.5,0.71875,0.5,0.9375,0.652173913043478
"5",0,2,1,0.666666667,1,0.5,0.687184271,0.5,0.03,1,17,0,1,0.5,0,1,0.75,0.75,0.971428571428571,0.790697674653056
"6",0,2,1,0.666666667,1,0.5,0.683130051,0.5,0.02,1,14,0,1,0.5,0,1,0.75,0.75,0.96551724137931,0.788732394599484
"7",0,0,2,1,1,1,1,1,0.04,2,14,0,0,1,0,1,1,0.5,1,1
"8",0.5,0.5,2,0.5,0.5,0.5,0.444444444,0.5,0.03,1,17,1,1,0.5,0.055555556,0.5,0.722222222,0.5,0.944444444444444,0.653846153846154
"9",0,2,1,0.666666667,1,0.5,0.684653197,0.5,0.04,1,15,0,1,0.5,0,1,0.75,0.75,0.967741935483871,0.789473684444252
"10",0.5,0.5,2,0.5,0.5,0.5,0.428571429,0.5,0.03,1,13,1,1,0.5,0.071428571,0.5,0.7142857145,0.5,0.928571428571429,0.65
"11",1.5,1.5,2,0,0,0,-0.117647059,0,0.03,0,15,2,2,0,0.117647059,0,0.4411764705,0.5,0.882352941176471,0
"12",0,0,2,1,1,1,1,1,0.01,2,14,0,0,1,0,1,1,0.5,1,1
"13",0.5,0.5,2,0.5,0.5,0.5,0.428571429,0.5,0.03,1,13,1,1,0.5,0.071428571,0.5,0.7142857145,0.5,0.928571428571429,0.65
"14",0,0,2,1,1,1,1,1,0.03,2,16,0,0,1,0,1,1,0.5,1,1
"15",0,0,2,1,1,1,1,1,0.05,2,14,0,0,1,0,1,1,0.5,1,1
"16",0,2,1,0.666666667,1,0.5,0.683130051,0.5,0.03,1,14,0,1,0.5,0,1,0.75,0.75,0.96551724137931,0.788732394599484
"17",0.5,4.5,4,0.333333333,0.25,0.5,0.227866358,0.5,0.03,1,12,3,1,0.5,0.2,0.25,0.65,0.375,0.857142857142857,0.4799999996544
"18",0.5,0.5,2,0.5,0.5,0.5,0.4375,0.5,0.03,1,15,1,1,0.5,0.0625,0.5,0.71875,0.5,0.9375,0.652173913043478
"19",0,0,2,1,1,1,1,1,0.01,2,14,0,0,1,0,1,1,0.5,1,1
"20",0,0,2,1,1,1,1,1,0.01,2,14,0,0,1,0,1,1,0.5,1,1
"21",0.5,2.5,1,0,0,0,-0.091287093,0,0.03,0,14,1,2,0,0.066666667,0,0.4666666665,0.5,0.903225806451613,0
"22",0.5,0.5,2,0.5,0.5,0.5,0.4375,0.5,0.03,1,15,1,1,0.5,0.0625,0.5,0.71875,0.5,0.9375,0.652173913043478
"23",0.5,4.5,4,0.333333333,0.25,0.5,0.21821789,0.5,0.02,1,11,3,1,0.5,0.214285714,0.25,0.642857143,0.375,0.846153846153846,0.478260869222117
"24",0,0,2,1,1,1,1,1,0.03,2,15,0,0,1,0,1,1,0.5,1,1
"25",0,2,1,0.666666667,1,0.5,0.684653197,0.5,0.03,1,15,0,1,0.5,0,1,0.75,0.75,0.967741935483871,0.789473684444252
"26",0,2,1,0.666666667,1,0.5,0.683130051,0.5,0.03,1,14,0,1,0.5,0,1,0.75,0.75,0.96551724137931,0.788732394599484
"27",0,2,1,0.666666667,1,0.5,0.683130051,0.5,0.04,1,14,0,1,0.5,0,1,0.75,0.75,0.96551724137931,0.788732394599484
