"","outer_sum_original","outer_sum_radiusPenalty","seeds_no","f1","prec","rec","mcc","det_rate","time_vector","TP","TN","FP","FN","TPR","FPR","Prec..PPV.","aucroc","aucpr","negf1","AR"
"1",0,2,2,0.8,1,0.666666667,0.797724035,0.666666667,0.07,2,21,0,1,0.666666667,0,1,0.8333333335,0.6666666665,0.976744186046512,0.879581151832461
"2",0.333333333,2.333333333,2,0.4,0.5,0.333333333,0.344828154,0.333333333,0.1,1,21,1,2,0.333333333,0.045454545,0.5,0.643939394,0.5833333335,0.933333333333333,0.56
"3",0.333333333,0.333333333,3,0.666666667,0.666666667,0.666666667,0.619047619,0.666666667,0.08,2,20,1,1,0.666666667,0.047619048,0.666666667,0.8095238095,0.5,0.952380952380952,0.784313725720876
"4",0,2,2,0.8,1,0.666666667,0.794719414,0.666666667,0.08,2,18,0,1,0.666666667,0,1,0.8333333335,0.6666666665,0.972972972972973,0.878048780487805
"5",0.333333333,2.333333333,2,0.4,0.5,0.333333333,0.32673202,0.333333333,0.08,1,16,1,2,0.333333333,0.058823529,0.5,0.637254902,0.5833333335,0.914285714285714,0.556521739130435
"6",1,5,5,0.25,0.2,0.333333333,0.091287093,0.333333333,0.09,1,14,4,2,0.333333333,0.222222222,0.2,0.5555555555,0.4333333335,0.823529411764706,0.383561643835616
"7",0.333333333,0.333333333,3,0.666666667,0.666666667,0.666666667,0.616666667,0.666666667,0.08,2,19,1,1,0.666666667,0.05,0.666666667,0.8083333335,0.5,0.95,0.78350515486938
"8",0,4,1,0.5,1,0.333333333,0.547722558,0.333333333,0.08,1,18,0,2,0.333333333,0,1,0.6666666665,0.8333333335,0.947368421052632,0.654545454545455
"9",0.333333333,2.333333333,2,0.4,0.5,0.333333333,0.354391792,0.333333333,0.11,1,25,1,2,0.333333333,0.038461538,0.5,0.6474358975,0.5833333335,0.943396226415094,0.561797752808989
"10",1,1,3,0,0,0,-0.166666667,0,0.11,0,15,3,3,0,0.166666667,0,0.4166666665,0.5,0.833333333333333,0
"11",0.666666667,0.666666667,3,0.333333333,0.333333333,0.333333333,0.222222222,0.333333333,0.06,1,16,2,2,0.333333333,0.111111111,0.333333333,0.611111111,0.5,0.888888888888889,0.484848484495868
"12",0.333333333,2.333333333,2,0.4,0.5,0.333333333,0.341881729,0.333333333,0.08,1,20,1,2,0.333333333,0.047619048,0.5,0.6428571425,0.5833333335,0.930232558139535,0.559440559440559
"13",0.333333333,0.333333333,3,0.666666667,0.666666667,0.666666667,0.611111111,0.666666667,0.06,2,17,1,1,0.666666667,0.055555556,0.666666667,0.8055555555,0.5,0.944444444444444,0.781609195631391
"14",0.333333333,0.333333333,3,0.666666667,0.666666667,0.666666667,0.607843137,0.666666667,0.06,2,16,1,1,0.666666667,0.058823529,0.666666667,0.803921569,0.5,0.941176470588235,0.780487805106484
"15",0.666666667,2.666666667,2,0,0,0,-0.096076892,0,0.07,0,23,2,3,0,0.08,0,0.46,0.5,0.901960784313726,0
"16",1,1,3,0.333333333,0.333333333,0.333333333,0.233333333,0.333333333,0.08,1,18,2,2,0.333333333,0.1,0.333333333,0.6166666665,0.5,0.9,0.486486486131483
"17",0.333333333,0.333333333,3,0.666666667,0.666666667,0.666666667,0.611111111,0.666666667,0.08,2,17,1,1,0.666666667,0.055555556,0.666666667,0.8055555555,0.5,0.944444444444444,0.781609195631391
"18",0,2,2,0.8,1,0.666666667,0.801783726,0.666666667,0.08,2,27,0,1,0.666666667,0,1,0.8333333335,0.6666666665,0.981818181818182,0.881632653061225
"19",0,0,3,1,1,1,1,1,0.08,3,20,0,0,1,0,1,1,0.5,1,1
"20",0.333333333,2.333333333,2,0.4,0.5,0.333333333,0.354391792,0.333333333,0.07,1,25,1,2,0.333333333,0.038461538,0.5,0.6474358975,0.5833333335,0.943396226415094,0.561797752808989
"21",0.333333333,0.333333333,3,0.666666667,0.666666667,0.666666667,0.614035088,0.666666667,0.08,2,18,1,1,0.666666667,0.052631579,0.666666667,0.807017544,0.5,0.947368421052632,0.782608695881853
"22",0.333333333,2.333333333,2,0.4,0.5,0.333333333,0.344828154,0.333333333,0.08,1,21,1,2,0.333333333,0.045454545,0.5,0.643939394,0.5833333335,0.933333333333333,0.56
"23",0.333333333,2.333333333,2,0.4,0.5,0.333333333,0.344828154,0.333333333,0.11,1,21,1,2,0.333333333,0.045454545,0.5,0.643939394,0.5833333335,0.933333333333333,0.56
"24",1,3,4,0,0,0,-0.169030851,0,0.09,0,17,4,3,0,0.19047619,0,0.404761905,0.5,0.829268292682927,0
