"","outer_sum_original","outer_sum_radiusPenalty","seeds_no","f1","prec","rec","mcc","det_rate","time_vector","TP","TN","FP","FN","TPR","FPR","PPV","aucroc","aucpr","negf1","AR"
"1",NA,NA,3,0,0,0,-0.0178713955075539,0,14.59,0,300,3,10,0,0.0099009900990099,0,0.495049504950495,0.5,0.978792822185971,0
"2",NA,NA,3,0.153846153846154,0.333333333333333,0.1,0.16781702601433,0.1,11.05,1,285,2,9,0.1,0.00696864111498258,0.333333333333333,0.546515679442509,0.616666666666667,0.981067125645439,0.26598226784881
"3",NA,NA,3,0,0,0,-0.0184742233484292,0,10.83,0,290,3,10,0,0.0102389078498294,0,0.494880546075085,0.5,0.978077571669477,0
"4",NA,NA,3,0.153846153846154,0.333333333333333,0.1,0.163734252312502,0.1,4.21,1,222,2,9,0.1,0.00892857142857143,0.333333333333333,0.545535714285714,0.616666666666667,0.975824175824176,0.265788686022149
"5",NA,NA,3,0.153846153846154,0.333333333333333,0.1,0.162958968433268,0.1,4.2,1,213,2,9,0.1,0.00930232558139535,0.333333333333333,0.545348837209302,0.616666666666667,0.974828375286041,0.265751715533375
"6",NA,NA,2,0,0,0,-0.019791312333192,0,4.78,0,220,2,10,0,0.00900900900900901,0,0.495495495495495,0.5,0.973451327433628,0
"7",NA,NA,3,0.153846153846154,0.333333333333333,0.1,0.164139050227054,0.1,5.17,1,227,2,9,0.1,0.00873362445414847,0.333333333333333,0.545633187772926,0.616666666666667,0.976344086021505,0.265807962529274
"8",NA,NA,3,0,0,0,-0.0234597044424294,0,5.48,0,227,3,10,0,0.0130434782608696,0,0.493478260869565,0.5,0.972162740899358,0
"9",NA,NA,2,0.166666666666667,0.5,0.1,0.212643548862954,0.1,5.99000000000001,1,280,1,9,0.1,0.00355871886120996,0.5,0.548220640569395,0.7,0.982456140350877,0.28498727735369
"10",NA,NA,4,0.285714285714286,0.5,0.2,0.299870855277834,0.2,10.35,2,246,2,8,0.2,0.00806451612903226,0.5,0.595967741935484,0.65,0.980079681274901,0.442446043165468
"11",NA,NA,2,0,0,0,-0.0200576482949626,0,3.3,0,217,2,10,0,0.0091324200913242,0,0.495433789954338,0.5,0.973094170403587,0
"12",NA,NA,2,0,0,0,-0.0197040987951173,0,2.42,0,221,2,10,0,0.00896860986547085,0,0.495515695067265,0.5,0.973568281938326,0
"13",NA,NA,2,0,0,0,-0.0183308893776692,0,4.13,0,238,2,10,0,0.00833333333333333,0,0.495833333333333,0.5,0.975409836065574,0
"14",NA,NA,3,0.153846153846154,0.333333333333333,0.1,0.166668043730024,0.1,6.94999999999999,1,264,2,9,0.1,0.0075187969924812,0.333333333333333,0.546240601503759,0.616666666666667,0.979591836734694,0.265927977839335
"15",NA,NA,2,0,0,0,-0.0155297477697486,0,7.44,0,282,2,10,0,0.00704225352112676,0,0.496478873239437,0.5,0.979166666666667,0
"16",NA,NA,4,0.142857142857143,0.25,0.1,0.136201350229582,0.1,6.81,1,232,3,9,0.1,0.0127659574468085,0.25,0.543617021276596,0.575,0.974789915966387,0.249194414607949
"17",NA,NA,2,0,0,0,-0.0167514528065694,0,5.16999999999999,0,261,2,10,0,0.00760456273764259,0,0.496197718631179,0.5,0.977528089887641,0
"18",NA,NA,2,0,0,0,-0.0209014831173538,0,3.52,0,208,2,10,0,0.00952380952380952,0,0.495238095238095,0.5,0.97196261682243,0
"19",NA,NA,2,0,0,0,-0.0198793014687274,0,4.66,0,219,2,10,0,0.00904977375565611,0,0.495475113122172,0.5,0.973333333333333,0
"20",NA,NA,4,0.142857142857143,0.25,0.1,0.133630620956212,0.1,6.84999999999998,1,207,3,9,0.1,0.0142857142857143,0.25,0.542857142857143,0.575,0.971830985915493,0.249097472924188
"21",NA,NA,3,0,0,0,-0.0235606292191943,0,6.47,0,226,3,10,0,0.0131004366812227,0,0.493449781659389,0.5,0.972043010752688,0
"22",NA,NA,2,0,0,0,-0.0206124236155722,0,2.21000000000001,0,211,2,10,0,0.00938967136150235,0,0.495305164319249,0.5,0.972350230414747,0
"23",NA,NA,5,0.133333333333333,0.2,0.1,0.116436347285492,0.1,11.51,1,234,4,9,0.1,0.0168067226890756,0.2,0.541596638655462,0.55,0.972972972972973,0.234527687296416
"24",NA,NA,3,0,0,0,-0.0259005943391239,0,4.19,0,205,3,10,0,0.0144230769230769,0,0.492788461538462,0.5,0.969267139479905,0
"25",NA,NA,2,0,0,0,-0.0162640331474084,0,4.73000000000002,0,269,2,10,0,0.00738007380073801,0,0.496309963099631,0.5,0.978181818181818,0
"26",NA,NA,2,0.166666666666667,0.5,0.1,0.208594915320924,0.1,3.09,1,203,1,9,0.1,0.00490196078431373,0.5,0.547549019607843,0.7,0.975961538461538,0.284712482468444
"27",NA,NA,3,0,0,0,-0.0198826411246046,0,8.28,0,269,3,10,0,0.0110294117647059,0,0.494485294117647,0.5,0.976406533575318,0
"28",NA,NA,2,0,0,0,-0.0175399461242088,0,5.61999999999998,0,249,2,10,0,0.00796812749003984,0,0.49601593625498,0.5,0.976470588235294,0
"29",NA,NA,2,0,0,0,-0.0146640019708185,0,8.80000000000001,0,299,2,10,0,0.00664451827242525,0,0.496677740863787,0.5,0.980327868852459,0
"30",NA,NA,3,0.153846153846154,0.333333333333333,0.1,0.166367604963585,0.1,7.37,1,259,2,9,0.1,0.00766283524904215,0.333333333333333,0.546168582375479,0.616666666666667,0.979206049149338,0.265913757700206
"31",NA,NA,3,0,0,0,-0.0218673065101766,0,7.46000000000001,0,244,3,10,0,0.0121457489878543,0,0.493927125506073,0.5,0.974051896207585,0
"32",NA,NA,3,0,0,0,-0.0181678098447792,0,10.59,0,295,3,10,0,0.0100671140939597,0,0.49496644295302,0.5,0.978441127694859,0
"33",NA,NA,2,0,0,0,-0.0182560494311395,0,6.09,0,239,2,10,0,0.00829875518672199,0,0.495850622406639,0.5,0.975510204081633,0
"34",NA,NA,2,0.166666666666667,0.5,0.1,0.214078524741081,0.1,7.84,1,323,1,9,0.1,0.00308641975308642,0.5,0.548456790123457,0.7,0.984756097560976,0.285083848190645
"35",NA,NA,2,0,0,0,-0.0203312515197611,0,3.52000000000001,0,214,2,10,0,0.00925925925925926,0,0.49537037037037,0.5,0.972727272727273,0
"36",NA,NA,3,0,0,0,-0.0204010837343527,0,7.19999999999999,0,262,3,10,0,0.0113207547169811,0,0.494339622641509,0.5,0.975791433891993,0
"37",NA,NA,4,0.142857142857143,0.25,0.1,0.139941186564,0.1,12.7,1,281,3,9,0.1,0.0105633802816901,0.25,0.544718309859155,0.575,0.979094076655052,0.249334516415262
"38",NA,NA,2,0.166666666666667,0.5,0.1,0.208737547556961,0.1,2.34,1,205,1,9,0.1,0.00485436893203883,0.5,0.547572815533981,0.7,0.976190476190476,0.284722222222223
"39",NA,NA,2,0.166666666666667,0.5,0.1,0.211861974368234,0.1,4.21000000000001,1,261,1,9,0.1,0.00381679389312977,0.5,0.548091603053435,0.7,0.981203007518797,0.284934497816594
"40",NA,NA,3,0.307692307692308,0.666666666666667,0.2,0.350725315218855,0.2,3.98000000000002,2,210,1,8,0.2,0.004739336492891,0.666666666666667,0.597630331753555,0.733333333333333,0.979020979020979,0.468227424749164
"41",NA,NA,2,0,0,0,-0.0195319578436349,0,3.68000000000001,0,223,2,10,0,0.00888888888888889,0,0.495555555555556,0.5,0.973799126637555,0
"42",NA,NA,3,0,0,0,-0.0259005943391239,0,6.22999999999996,0,205,3,10,0,0.0144230769230769,0,0.492788461538462,0.5,0.969267139479905,0
"43",NA,NA,2,0,0,0,-0.0147122471584125,0,8.30000000000001,0,298,2,10,0,0.00666666666666667,0,0.496666666666667,0.5,0.980263157894737,0
"44",NA,NA,3,0.153846153846154,0.333333333333333,0.1,0.162405659033558,0.1,4.10000000000002,1,207,2,9,0.1,0.00956937799043062,0.333333333333333,0.545215311004785,0.616666666666667,0.974117647058824,0.265725288831836
"45",NA,NA,2,0,0,0,-0.0197040987951173,0,5.17000000000002,0,221,2,10,0,0.00896860986547085,0,0.495515695067265,0.5,0.973568281938326,0
"46",NA,NA,3,0,0,0,-0.0191861197956895,0,7.91000000000003,0,279,3,10,0,0.0106382978723404,0,0.49468085106383,0.5,0.97723292469352,0
"47",NA,NA,3,0.153846153846154,0.333333333333333,0.1,0.162686161930066,0.1,5.78000000000003,1,210,2,9,0.1,0.00943396226415094,0.333333333333333,0.545283018867925,0.616666666666667,0.974477958236659,0.265738690287884
"48",NA,NA,2,0,0,0,-0.0155297477697486,0,5.5,0,282,2,10,0,0.00704225352112676,0,0.496478873239437,0.5,0.979166666666667,0
"49",NA,NA,4,0,0,0,-0.0244207707863926,0,9.11000000000001,0,252,4,10,0,0.015625,0,0.4921875,0.5,0.972972972972973,0
"50",NA,NA,4,0.142857142857143,0.25,0.1,0.132799043030356,0.1,6.13,1,200,3,9,0.1,0.0147783251231527,0.25,0.542610837438424,0.575,0.970873786407767,0.24906600249066
"51",NA,NA,3,0.153846153846154,0.333333333333333,0.1,0.162686161930066,0.1,5.63,1,210,2,9,0.1,0.00943396226415094,0.333333333333333,0.545283018867925,0.616666666666667,0.974477958236659,0.265738690287884
"52",NA,NA,4,0,0,0,-0.0251992315359524,0,10.19,0,244,4,10,0,0.0161290322580645,0,0.491935483870968,0.5,0.97211155378486,0
"53",NA,NA,2,0.166666666666667,0.5,0.1,0.211992707771884,0.1,4.46000000000004,1,264,1,9,0.1,0.00377358490566038,0.5,0.54811320754717,0.7,0.981412639405205,0.284943335132219
"54",NA,NA,3,0,0,0,-0.0203253711865883,0,12.58,0,263,3,10,0,0.0112781954887218,0,0.494360902255639,0.5,0.975881261595547,0
"55",NA,NA,2,0.166666666666667,0.5,0.1,0.210202173738649,0.1,3.82999999999998,1,228,1,9,0.1,0.00436681222707424,0.5,0.547816593886463,0.7,0.978540772532189,0.284821986258589
"56",NA,NA,3,0,0,0,-0.0228718602664616,0,8.25999999999999,0,233,3,10,0,0.0127118644067797,0,0.49364406779661,0.5,0.97286012526096,0
"57",NA,NA,3,0.153846153846154,0.333333333333333,0.1,0.166367604963585,0.1,7.32999999999998,1,259,2,9,0.1,0.00766283524904215,0.333333333333333,0.546168582375479,0.616666666666667,0.979206049149338,0.265913757700206
"58",NA,NA,4,0.285714285714286,0.5,0.2,0.304357816673169,0.2,10.06,2,341,2,8,0.2,0.00583090379008746,0.5,0.597084548104956,0.65,0.985549132947977,0.443000974342319
"59",NA,NA,2,0,0,0,-0.0147608108790775,0,8.07999999999998,0,297,2,10,0,0.00668896321070234,0,0.496655518394649,0.5,0.98019801980198,0
"60",NA,NA,3,0,0,0,-0.0217803420934516,0,7.44,0,245,3,10,0,0.0120967741935484,0,0.493951612903226,0.5,0.974155069582505,0
"61",NA,NA,2,0.166666666666667,0.5,0.1,0.210960392911181,0.1,6.88,1,242,1,9,0.1,0.00411522633744856,0.5,0.547942386831276,0.7,0.979757085020243,0.284873454973514
"62",NA,NA,4,0,0,0,-0.0260289603147677,0,9.46999999999997,0,236,4,10,0,0.0166666666666667,0,0.491666666666667,0.5,0.97119341563786,0
"63",NA,NA,2,0.166666666666667,0.5,0.1,0.210909090909091,0.1,7.74000000000001,1,241,1,9,0.1,0.00413223140495868,0.5,0.547933884297521,0.7,0.979674796747967,0.284869976359339
"64",NA,NA,4,0.142857142857143,0.25,0.1,0.138358581196941,0.1,11.79,1,258,3,9,0.1,0.0114942528735632,0.25,0.544252873563218,0.575,0.977272727272727,0.249275362318841
"65",NA,NA,7,0.117647058823529,0.142857142857143,0.1,0.0939566407995821,0.1,33.07,1,280,6,9,0.1,0.020979020979021,0.142857142857143,0.53951048951049,0.521428571428571,0.973913043478261,0.209934395501405
"66",NA,NA,3,0.153846153846154,0.333333333333333,0.1,0.16286886844166,0.1,6.48000000000002,1,212,2,9,0.1,0.00934579439252336,0.333333333333333,0.545327102803738,0.616666666666667,0.974712643678161,0.265747414603573
"67",NA,NA,3,0,0,0,-0.0254197128015729,0,7.19,0,209,3,10,0,0.0141509433962264,0,0.492924528301887,0.5,0.969837587006961,0
"68",NA,NA,3,0.307692307692308,0.666666666666667,0.2,0.351547071141548,0.2,5.13,2,223,1,8,0.2,0.00446428571428571,0.666666666666667,0.597767857142857,0.733333333333333,0.98021978021978,0.468364400105015
"69",NA,NA,2,0.166666666666667,0.5,0.1,0.208877494461006,0.1,3.00999999999999,1,207,1,9,0.1,0.00480769230769231,0.5,0.547596153846154,0.7,0.976415094339623,0.284731774415406
"70",NA,NA,3,0,0,0,-0.0241848989878487,0,6.72999999999996,0,220,3,10,0,0.0134529147982063,0,0.493273542600897,0.5,0.971302428256071,0
"71",NA,NA,2,0.166666666666667,0.5,0.1,0.215135711455655,0.1,9.37,1,364,1,9,0.1,0.00273972602739726,0.5,0.548630136986301,0.7,0.986449864498645,0.285154719937329
"72",NA,NA,3,0.153846153846154,0.333333333333333,0.1,0.169402740093093,0.1,14.78,1,320,2,9,0.1,0.0062111801242236,0.333333333333333,0.546894409937888,0.616666666666667,0.98310291858679,0.266056952816462
"73",NA,NA,4,0.285714285714286,0.5,0.2,0.300063810577174,0.2,11.58,2,249,2,8,0.2,0.00796812749003984,0.5,0.59601593625498,0.65,0.980314960629921,0.44247001332741
"74",NA,NA,3,0.153846153846154,0.333333333333333,0.1,0.170547360771983,0.1,13.08,1,351,2,9,0.1,0.0056657223796034,0.333333333333333,0.547167138810198,0.616666666666667,0.984572230014025,0.266110689916604
"75",NA,NA,3,0.307692307692308,0.666666666666667,0.2,0.351781403048357,0.2,4.65999999999997,2,227,1,8,0.2,0.0043859649122807,0.666666666666667,0.59780701754386,0.733333333333333,0.980561555075594,0.468403404694352
"76",NA,NA,4,0,0,0,-0.0181746848913229,0,18.98,0,341,4,10,0,0.0115942028985507,0,0.494202898550725,0.5,0.979885057471264,0
"77",NA,NA,2,0.166666666666667,0.5,0.1,0.212832233421711,0.1,6.31999999999994,1,285,1,9,0.1,0.0034965034965035,0.5,0.548251748251748,0.7,0.982758620689655,0.285
"78",NA,NA,3,0.153846153846154,0.333333333333333,0.1,0.166118956188736,0.1,11.23,1,255,2,9,0.1,0.00778210116731518,0.333333333333333,0.546108949416342,0.616666666666667,0.978886756238004,0.265901981230449
"79",NA,NA,3,0.307692307692308,0.666666666666667,0.2,0.350452109372701,0.2,5.55999999999995,2,206,1,8,0.2,0.00483091787439614,0.666666666666667,0.597584541062802,0.733333333333333,0.978622327790974,0.468181818181818
"80",NA,NA,4,0.285714285714286,0.5,0.2,0.301615201305449,0.2,11.6799999999999,2,276,2,8,0.2,0.00719424460431655,0.5,0.596402877697842,0.65,0.98220640569395,0.442662389735365
"81",NA,NA,3,0.153846153846154,0.333333333333333,0.1,0.163816628007506,0.1,6.45999999999992,1,223,2,9,0.1,0.00888888888888889,0.333333333333333,0.545555555555556,0.616666666666667,0.975929978118162,0.265792610250298
"82",NA,NA,2,0,0,0,-0.0198793014687274,0,3.15000000000009,0,219,2,10,0,0.00904977375565611,0,0.495475113122172,0.5,0.973333333333333,0
"83",NA,NA,2,0.166666666666667,0.5,0.1,0.208807851912553,0.1,4.46000000000004,1,206,1,9,0.1,0.00483091787439614,0.5,0.547584541062802,0.7,0.976303317535545,0.284727021423636
"84",NA,NA,3,0,0,0,-0.0224960635332924,0,11.39,0,237,3,10,0,0.0125,0,0.49375,0.5,0.973305954825462,0
"85",NA,NA,2,0.166666666666667,0.5,0.1,0.21207825821239,0.1,4.34000000000003,1,266,1,9,0.1,0.00374531835205993,0.5,0.54812734082397,0.7,0.981549815498155,0.284949116229245
"86",NA,NA,3,0.153846153846154,0.333333333333333,0.1,0.168163997440538,0.1,13.89,1,292,2,9,0.1,0.00680272108843537,0.333333333333333,0.546598639455782,0.616666666666667,0.981512605042017,0.265998633568663
"87",NA,NA,4,0.142857142857143,0.25,0.1,0.133970517488892,0.1,8.11000000000001,1,210,3,9,0.1,0.0140845070422535,0.25,0.542957746478873,0.575,0.972222222222222,0.249110320284698
"88",NA,NA,2,0.166666666666667,0.5,0.1,0.210372207093146,0.1,5.78000000000009,1,231,1,9,0.1,0.00431034482758621,0.5,0.547844827586207,0.7,0.978813559322034,0.284833538840938
"89",NA,NA,2,0.166666666666667,0.5,0.1,0.208737547556961,0.1,3.84000000000003,1,205,1,9,0.1,0.00485436893203883,0.5,0.547572815533981,0.7,0.976190476190476,0.284722222222223
