"","outer_sum_original","outer_sum_radiusPenalty","seeds_no","f1","prec","rec","mcc","det_rate","time_vector","TP","TN","FP","FN","TPR","FPR","PPV","aucroc","aucpr","negf1","AR"
"1",1.5,1.5,2,0,0,0,-0.0168067226890756,0,1.55,0,117,2,2,0,0.0168067226890756,0,0.491596638655462,0.5,0.983193277310924,0
"2",1,3,3,0,0,0,-0.0184868466661634,0,2.71,0,130,3,2,0,0.0225563909774436,0,0.488721804511278,0.5,0.981132075471698,0
"3",1.5,3.5,3,0,0,0,-0.0187701741145068,0,1.86,0,128,3,2,0,0.0229007633587786,0,0.488549618320611,0.5,0.980842911877395,0
"4",1,3,3,0,0,0,-0.0193637065371959,0,1.81,0,124,3,2,0,0.0236220472440945,0,0.488188976377953,0.5,0.980237154150198,0
"5",1.5,1.5,2,0,0,0,-0.0110497237569061,0,2.05,0,179,2,2,0,0.0110497237569061,0,0.494475138121547,0.5,0.988950276243094,0
"6",1.5,1.5,2,0,0,0,-0.0151515151515152,0,1.25,0,130,2,2,0,0.0151515151515152,0,0.492424242424242,0.5,0.984848484848485,0
"7",1,1,2,0,0,0,-0.0175438596491228,0,0.899999999999999,0,112,2,2,0,0.0175438596491228,0,0.491228070175439,0.5,0.982456140350877,0
"8",1.5,1.5,2,0,0,0,-0.0144927536231884,0,1.35,0,136,2,2,0,0.0144927536231884,0,0.492753623188406,0.5,0.985507246376812,0
"9",2,2,2,0,0,0,-0.0124223602484472,0,1.8,0,159,2,2,0,0.0124223602484472,0,0.493788819875776,0.5,0.987577639751553,0
"10",1.5,1.5,2,0,0,0,-0.0176991150442478,0,1.17,0,111,2,2,0,0.0176991150442478,0,0.491150442477876,0.5,0.982300884955752,0
"11",2,2,2,0,0,0,-0.0143884892086331,0,1.75,0,137,2,2,0,0.0143884892086331,0,0.492805755395683,0.5,0.985611510791367,0
"12",1,1,2,0,0,0,-0.0132450331125828,0,2.06,0,149,2,2,0,0.0132450331125828,0,0.493377483443709,0.5,0.986754966887417,0
"13",1.5,1.5,2,0,0,0,-0.0134228187919463,0,1.67,0,147,2,2,0,0.0134228187919463,0,0.493288590604027,0.5,0.986577181208054,0
"14",1,1,2,0,0,0,-0.0116959064327485,0,2.09,0,169,2,2,0,0.0116959064327485,0,0.494152046783626,0.5,0.988304093567251,0
"15",1.5,1.5,2,0,0,0,-0.0131578947368421,0,3.23,0,150,2,2,0,0.0131578947368421,0,0.493421052631579,0.5,0.986842105263158,0
"16",1,1,2,0,0,0,-0.018018018018018,0,1.18,0,109,2,2,0,0.018018018018018,0,0.490990990990991,0.5,0.981981981981982,0
"17",1,1,2,0,0,0,-0.0125786163522013,0,2.45,0,157,2,2,0,0.0125786163522013,0,0.493710691823899,0.5,0.987421383647799,0
"18",1.5,1.5,2,0,0,0,-0.0161290322580645,0,1.34,0,122,2,2,0,0.0161290322580645,0,0.491935483870968,0.5,0.983870967741935,0
"19",1.5,1.5,2,0,0,0,-0.010989010989011,0,3.25,0,180,2,2,0,0.010989010989011,0,0.494505494505495,0.5,0.989010989010989,0
"20",1,1,2,0,0,0,-0.0122699386503067,0,2.23,0,161,2,2,0,0.0122699386503067,0,0.493865030674847,0.5,0.987730061349693,0
"21",1,1,2,0,0,0,-0.0120481927710843,0,1.83,0,164,2,2,0,0.0120481927710843,0,0.493975903614458,0.5,0.987951807228916,0
"22",1,1,2,0,0,0,-0.0124223602484472,0,2.21,0,159,2,2,0,0.0124223602484472,0,0.493788819875776,0.5,0.987577639751553,0
"23",0.5,6.5,4,0.333333333333333,0.25,0.5,0.341535667779795,0.5,3.36,1,145,3,1,0.5,0.0202702702702703,0.25,0.739864864864865,0.375,0.986394557823129,0.49828178694158
"24",1.5,1.5,2,0,0,0,-0.0126582278481013,0,1.88,0,156,2,2,0,0.0126582278481013,0,0.493670886075949,0.5,0.987341772151899,0
"25",1,1,2,0,0,0,-0.0110497237569061,0,2.87,0,179,2,2,0,0.0110497237569061,0,0.494475138121547,0.5,0.988950276243094,0
"26",1.5,1.5,2,0,0,0,-0.0108108108108108,0,2.28,0,183,2,2,0,0.0108108108108108,0,0.494594594594595,0.5,0.989189189189189,0
"27",1,3,3,0,0,0,-0.0173109896482304,0,2.12,0,139,3,2,0,0.0211267605633803,0,0.48943661971831,0.5,0.982332155477032,0
"28",1.5,1.5,2,0,0,0,-0.0152671755725191,0,1.22,0,129,2,2,0,0.0152671755725191,0,0.49236641221374,0.5,0.984732824427481,0
"29",2,2,2,0,0,0,-0.0110497237569061,0,2.57,0,179,2,2,0,0.0110497237569061,0,0.494475138121547,0.5,0.988950276243094,0
"30",1,1,2,0,0,0,-0.0136054421768707,0,1.8,0,145,2,2,0,0.0136054421768707,0,0.493197278911565,0.5,0.986394557823129,0
"31",2.5,2.5,2,0,0,0,-0.0111731843575419,0,2.36,0,177,2,2,0,0.0111731843575419,0,0.494413407821229,0.5,0.988826815642458,0
"32",1.5,1.5,2,0,0,0,-0.0202020202020202,0,0.849999999999994,0,97,2,2,0,0.0202020202020202,0,0.48989898989899,0.5,0.97979797979798,0
"33",1.5,1.5,2,0,0,0,-0.0204081632653061,0,0.899999999999991,0,96,2,2,0,0.0204081632653061,0,0.489795918367347,0.5,0.979591836734694,0
"34",1.5,1.5,2,0,0,0,-0.0140845070422535,0,1.53,0,140,2,2,0,0.0140845070422535,0,0.492957746478873,0.5,0.985915492957746,0
"35",1,1,2,0,0,0,-0.015748031496063,0,1.53999999999999,0,125,2,2,0,0.015748031496063,0,0.492125984251969,0.5,0.984251968503937,0
"36",1,1,2,0,0,0,-0.0168067226890756,0,1.23,0,117,2,2,0,0.0168067226890756,0,0.491596638655462,0.5,0.983193277310924,0
"37",1.5,1.5,2,0,0,0,-0.0137931034482759,0,1.44,0,143,2,2,0,0.0137931034482759,0,0.493103448275862,0.5,0.986206896551724,0
"38",1.5,13.5,6,0,0,0,-0.0349980678683365,0,2.5,0,95,6,2,0,0.0594059405940594,0,0.47029702970297,0.5,0.959595959595959,0
"39",1.5,1.5,2,0,0,0,-0.018348623853211,0,0.969999999999999,0,107,2,2,0,0.018348623853211,0,0.490825688073394,0.5,0.981651376146789,0
"40",1.5,1.5,2,0,0,0,-0.0138888888888889,0,1.86,0,142,2,2,0,0.0138888888888889,0,0.493055555555556,0.5,0.986111111111111,0
"41",1.5,1.5,2,0,0,0,-0.016,0,1.41999999999999,0,123,2,2,0,0.016,0,0.492,0.5,0.984,0
"42",1.5,1.5,2,0,0,0,-0.0136054421768707,0,1.73999999999999,0,145,2,2,0,0.0136054421768707,0,0.493197278911565,0.5,0.986394557823129,0
"43",1.5,1.5,2,0,0,0,-0.0151515151515152,0,1.73,0,130,2,2,0,0.0151515151515152,0,0.492424242424242,0.5,0.984848484848485,0
"44",1.5,5.5,4,0,0,0,-0.0214280931282594,0,3.5,0,129,4,2,0,0.0300751879699248,0,0.484962406015038,0.5,0.977272727272727,0
"45",1.5,1.5,2,0,0,0,-0.0148148148148148,0,1.36,0,133,2,2,0,0.0148148148148148,0,0.492592592592593,0.5,0.985185185185185,0
"46",1.5,1.5,2,0,0,0,-0.0113636363636364,0,2.52999999999999,0,174,2,2,0,0.0113636363636364,0,0.494318181818182,0.5,0.988636363636364,0
"47",0.5,0.5,2,0.5,0.5,0.5,0.492700729927007,0.5,1.45999999999999,1,136,1,1,0.5,0.0072992700729927,0.5,0.746350364963504,0.5,0.992700729927007,0.665036674816626
"48",1,5,4,0,0,0,-0.0285714285714286,0,2.14,0,96,4,2,0,0.04,0,0.48,0.5,0.96969696969697,0
"49",1.5,1.5,2,0,0,0,-0.0121951219512195,0,1.86000000000001,0,162,2,2,0,0.0121951219512195,0,0.49390243902439,0.5,0.98780487804878,0
