"","outer_sum_original","outer_sum_radiusPenalty","seeds_no","f1","prec","rec","mcc","det_rate","time_vector","TP","TN","FP","FN","TPR","FPR","PPV","aucroc","aucpr","negf1","AR"
"1",NA,NA,5,0.133333333333333,0.2,0.1,0.121686844643476,0.1,14.03,1,298,4,9,0.1,0.0132450331125828,0.2,0.543377483443709,0.55,0.978653530377668,0.234691868478046
"2",NA,NA,5,0.533333333333333,0.8,0.4,0.555902390153148,0.4,12.47,4,285,1,6,0.4,0.0034965034965035,0.8,0.698251748251748,0.7,0.98786828422877,0.692693300926629
"3",NA,NA,8,0.666666666666667,0.75,0.6,0.660903121760386,0.6,12.64,6,290,2,4,0.6,0.00684931506849315,0.75,0.796575342465753,0.575,0.989761092150171,0.796703296703297
"4",NA,NA,10,0.7,0.7,0.7,0.686666666666667,0.7,12.53,7,222,3,3,0.7,0.0133333333333333,0.7,0.843333333333333,0.5,0.986666666666667,0.81897233201581
"5",NA,NA,8,0.555555555555556,0.625,0.5,0.540989932469763,0.5,12.55,5,213,3,5,0.5,0.0138888888888889,0.625,0.743055555555556,0.5625,0.981566820276498,0.709526982011992
"6",NA,NA,5,0.533333333333333,0.8,0.4,0.553008301762444,0.4,12.47,4,219,1,6,0.4,0.00454545454545455,0.8,0.697727272727273,0.7,0.984269662921348,0.691806515301086
"7",NA,NA,10,0.6,0.6,0.6,0.582608695652174,0.6,12.68,6,226,4,4,0.6,0.0173913043478261,0.6,0.791304347826087,0.5,0.982608695652174,0.745054945054945
"8",NA,NA,9,0.631578947368421,0.666666666666667,0.6,0.617365854685779,0.6,12.5,6,227,3,4,0.6,0.0130434782608696,0.666666666666667,0.793478260869565,0.533333333333333,0.984815618221258,0.769600226020624
"9",NA,NA,8,0.333333333333333,0.375,0.3,0.31462062408929,0.3,12.59,3,279,5,7,0.3,0.0176056338028169,0.375,0.641197183098592,0.5375,0.978947368421053,0.497326203208556
"10",NA,NA,7,0.588235294117647,0.714285714285714,0.5,0.584398075346316,0.5,12.49,5,245,2,5,0.5,0.00809716599190283,0.714285714285714,0.745951417004049,0.607142857142857,0.985915492957746,0.736842105263158
