"","outer_sum_original","outer_sum_radiusPenalty","seeds_no","f1","prec","rec","mcc","det_rate","time_vector","TP","TN","FP","FN","TPR","FPR","Prec..PPV.","aucroc","aucpr","negf1","AR"
"1",0.6,6.6,3,0,0,0,-0.021881611,0,0.93,0,173,3,5,"0","0.017045455","0",0.4914772725,0.5,0.977401129943503,0
"2",1.4,4.4,6,0,0,0,-0.030177666,0,0.93,0,176,6,5,"0","0.032967033","0",0.4835164835,0.5,0.96969696969697,0
"3",0.6,6.6,3,0,0,0,-0.020935351,0,0.94,0,181,3,5,"0","0.016304348","0",0.491847826,0.5,0.978378378378378,0
"4",0.8,6.8,3,0,0,0,-0.021758677,0,0.96,0,174,3,5,"0","0.016949153","0",0.4915254235,0.5,0.97752808988764,0
"5",0.6,6.6,3,0.25,0.333333333,0.2,0.240452412,0.2,0.94,1,157,2,4,"0.2","0.012578616","0.333333333",0.593710692,0.5666666665,0.98125,0.398477157360406
"6",0.6,6.6,3,0.25,0.333333333,0.2,0.241593736,0.2,1.02,1,168,2,4,"0.2","0.011764706","0.333333333",0.594117647,0.5666666665,0.982456140350877,0.398576512455516
"7",0.8,6.8,3,0,0,0,-0.022917462,0,1.31,0,165,3,5,"0","0.017857143","0",0.4910714285,0.5,0.976331360946746,0
"8",1.2,4.2,4,0.222222222,0.25,0.2,0.203858877,0.2,1.35,1,172,3,4,"0.2","0.017142857","0.25",0.5914285715,0.525,0.98005698005698,0.362295944939003
"9",1,3,4,0,0,0,-0.026699438,0,0.88,0,163,4,5,"0","0.023952096","0",0.488023952,0.5,0.973134328358209,0
"10",1.4,4.4,4,0,0,0,-0.02548236,0,0.95,0,171,4,5,"0","0.022857143","0",0.4885714285,0.5,0.974358974358974,0
"11",0.2,12.2,1,0,0,0,-0.013889693,0,1,0,158,1,5,"0","0.006289308","0",0.496855346,0.5,0.981366459627329,0
"12",0.8,6.8,3,0.25,0.333333333,0.2,0.239761167,0.2,0.96,1,151,2,4,"0.2","0.013071895","0.333333333",0.5934640525,0.5666666665,0.980519480519481,0.398416886543536
"13",0.8,6.8,3,0,0,0,-0.023331648,0,0.94,0,162,3,5,"0","0.018181818","0",0.490909091,0.5,0.975903614457831,0
"14",1.2,4.2,4,0,0,0,-0.025337982,0,1,0,172,4,5,"0","0.022727273","0",0.4886363635,0.5,0.974504249291785,0
"15",0.6,9.6,2,0,0,0,-0.017617761,0,0.98,0,176,2,5,"0","0.011235955","0",0.4943820225,0.5,0.98050139275766,0
"16",0.8,6.8,3,0,0,0,-0.022782649,0,0.92,0,166,3,5,"0","0.017751479","0",0.4911242605,0.5,0.976470588235294,0
"17",0.6,6.6,3,0,0,0,-0.021049133,0,1.03,0,180,3,5,"0","0.016393443","0",0.4918032785,0.5,0.978260869565217,0
"18",0.4,9.4,2,0.285714286,0.5,0.2,0.304391992,0.2,0.98,1,171,1,4,"0.2","0.005813953","0.5",0.5970930235,0.65,0.985590778097983,0.443005181690594
"19",0.6,6.6,3,0.25,0.333333333,0.2,0.242065366,0.2,1,1,173,2,4,"0.2","0.011428571","0.333333333",0.5942857145,0.5666666665,0.982954545454545,0.398617511520737
"20",0.8,3.8,4,0.222222222,0.25,0.2,0.203970759,0.2,0.99,1,173,3,4,"0.2","0.017045455","0.25",0.5914772725,0.525,0.980169971671388,0.362303664626122
"21",0.8,6.8,3,0.25,0.333333333,0.2,0.241297285,0.2,1.03,1,165,2,4,"0.2","0.011976048","0.333333333",0.594011976,0.5666666665,0.982142857142857,0.398550724637681
"22",0.8,6.8,3,0,0,0,-0.022782649,0,1,0,166,3,5,"0","0.017751479","0",0.4911242605,0.5,0.976470588235294,0
"23",0.2,9.2,2,0.285714286,0.5,0.2,0.304658473,0.2,0.91,1,175,1,4,"0.2","0.005681818","0.5",0.597159091,0.65,0.985915492957746,0.443037975027039
"24",1.2,7.2,3,0,0,0,-0.022649413,0,0.96,0,167,3,5,"0","0.017647059","0",0.4911764705,0.5,0.976608187134503,0
"25",1,7,3,0,0,0,-0.021516906,0,0.97,0,176,3,5,"0","0.016759777","0",0.4916201115,0.5,0.977777777777778,0
"26",1.2,4.2,4,0,0,0,-0.023979367,0,0.9,0,182,4,5,"0","0.021505376","0",0.489247312,0.5,0.975871313672922,0
"27",1,4,4,0,0,0,-0.024776472,0,0.93,0,176,4,5,"0","0.022222222","0",0.488888889,0.5,0.975069252077562,0
"28",0.6,6.6,3,0,0,0,-0.026527905,0,0.97,0,142,3,5,"0","0.020689655","0",0.4896551725,0.5,0.972602739726027,0
"29",0.6,9.6,2,0,0,0,-0.017328134,0,1.05,0,179,2,5,"0","0.011049724","0",0.494475138,0.5,0.980821917808219,0
"30",1.2,1.2,5,0.2,0.2,0.2,0.177011494,0.2,1.02,1,170,4,4,"0.2","0.022988506","0.2",0.588505747,0.5,0.977011494252874,0.33203125
"31",0.8,6.8,3,0,0,0,-0.020822792,0,1.07,0,182,3,5,"0","0.016216216","0",0.491891892,0.5,0.978494623655914,0
"32",0.2,9.2,2,0.285714286,0.5,0.2,0.304592984,0.2,0.9,1,174,1,4,"0.2","0.005714286","0.5",0.597142857,0.65,0.985835694050992,0.443029917593641
"33",0.4,12.4,1,0,0,0,-0.013232098,0,1.04,0,166,1,5,"0","0.005988024","0",0.497005988,0.5,0.982248520710059,0
"34",1.2,1.2,5,0.2,0.2,0.2,0.177142857,0.2,0.91,1,171,4,4,"0.2","0.022857143","0.2",0.5885714285,0.5,0.977142857142857,0.332038834951456
"35",15,15,0,0,0,0,-1,0,0.95,0,0,0,0,"0","0","0",0.5,0.5,0,0
"36",0.8,9.8,2,0,0,0,-0.017716467,0,0.94,0,175,2,5,"0","0.011299435","0",0.4943502825,0.5,0.980392156862745,0
"37",1.4,1.4,5,0,0,0,-0.028409091,0,0.95,0,171,5,5,"0","0.028409091","0",0.4857954545,0.5,0.971590909090909,0
"38",0.4,9.4,2,0,0,0,-0.017617761,0,0.99,0,176,2,5,"0","0.011235955","0",0.4943820225,0.5,0.98050139275766,0
"39",0.6,9.6,2,0,0,0,-0.018547801,0,1.02,0,167,2,5,"0","0.01183432","0",0.49408284,0.5,0.979472140762463,0
"40",0.4,9.4,2,0,0,0,-0.017328134,0,1.05,0,179,2,5,"0","0.011049724","0",0.494475138,0.5,0.980821917808219,0
"41",1.6,1.6,5,0,0,0,-0.030120482,0,1.01,0,161,5,5,"0","0.030120482","0",0.484939759,0.5,0.969879518072289,0
"42",0.6,9.6,2,0,0,0,-0.018019334,0,0.92,0,172,2,5,"0","0.011494253","0",0.4942528735,0.5,0.98005698005698,0
"43",0.2,12.2,1,0,0,0,-0.014153463,0,1.14,0,155,1,5,"0","0.006410256","0",0.496794872,0.5,0.981012658227848,0
"44",1,4,4,0.222222222,0.25,0.2,0.203970759,0.2,1.09,1,173,3,4,"0.2","0.017045455","0.25",0.5914772725,0.525,0.980169971671388,0.362303664626122
"45",0.6,6.6,3,0,0,0,-0.021637116,0,0.97,0,175,3,5,"0","0.016853933","0",0.4915730335,0.5,0.977653631284916,0
"46",0.8,3.8,4,0.222222222,0.25,0.2,0.204190762,0.2,0.94,1,175,3,4,"0.2","0.016853933","0.25",0.5915730335,0.525,0.980392156862745,0.362318840284342
"47",0.4,9.4,2,0,0,0,-0.018547801,0,1.01,0,167,2,5,"0","0.01183432","0",0.49408284,0.5,0.979472140762463,0
"48",0.8,6.8,3,0,0,0,-0.022131695,0,0.99,0,171,3,5,"0","0.017241379","0",0.4913793105,0.5,0.977142857142857,0
"49",10,10,0,0,0,0,-1,0,1.02,0,0,0,0,"0","0","0",0.5,0.5,0,0
"50",0.4,9.4,2,0.285714286,0.5,0.2,0.30396843,0.2,1,1,165,1,4,"0.2","0.006024096","0.5",0.596987952,0.65,0.985074626865672,0.442953020477591
"51",0.8,6.8,3,0.25,0.333333333,0.2,0.242156496,0.2,0.99,1,174,2,4,"0.2","0.011363636","0.333333333",0.594318182,0.5666666665,0.983050847457627,0.398625429553265
"52",0.2,9.2,2,0.285714286,0.5,0.2,0.303745072,0.2,0.98,1,162,1,4,"0.2","0.006134969","0.5",0.5969325155,0.65,0.984802431610942,0.442925495900395
"53",0.8,3.8,4,0.222222222,0.25,0.2,0.199455358,0.2,0.97,1,140,3,4,"0.2","0.020979021","0.25",0.5895104895,0.525,0.975609756097561,0.36199094993141
"54",0.8,3.8,4,0,0,0,-0.025628391,0,1,0,170,4,5,"0","0.022988506","0",0.488505747,0.5,0.974212034383954,0
"55",0.4,6.4,3,0.25,0.333333333,0.2,0.242156496,0.2,1.13,1,174,2,4,"0.2","0.011363636","0.333333333",0.594318182,0.5666666665,0.983050847457627,0.398625429553265
"56",0.6,6.6,3,0.25,0.333333333,0.2,0.241973196,0.2,1.06,1,172,2,4,"0.2","0.011494253","0.333333333",0.5942528735,0.5666666665,0.982857142857143,0.398609501738123
"57",1.2,3.2,4,0,0,0,-0.025925535,0,0.96,0,168,4,5,"0","0.023255814","0",0.488372093,0.5,0.973913043478261,0
"58",1.6,1.6,5,0,0,0,-0.027322404,0,1.07,0,178,5,5,"0","0.027322404","0",0.486338798,0.5,0.972677595628415,0
"59",0.8,3.8,4,0.222222222,0.25,0.2,0.203631244,0.2,0.97,1,170,3,4,"0.2","0.01734104","0.25",0.59132948,0.525,0.979827089337176,0.362280234121317
"60",1.8,1.8,5,0,0,0,-0.029239766,0,1.14,0,166,5,5,"0","0.029239766","0",0.485380117,0.5,0.970760233918129,0
"61",1.6,1.6,5,0,0,0,-0.027932961,0,1.07,0,174,5,5,"0","0.027932961","0",0.4860335195,0.5,0.972067039106145,0
"62",1.2,3.2,4,0,0,0,-0.030526703,0,1.23,0,142,4,5,"0","0.02739726","0",0.48630137,0.5,0.969283276450512,0
"63",1.6,1.6,5,0,0,0,-0.02994012,0,1.38,0,162,5,5,"0","0.02994012","0",0.48502994,0.5,0.970059880239521,0
"64",0.6,4.6,3,0,0,0,-0.02390776,0,1.19,0,158,3,5,"0","0.01863354","0",0.49068323,0.5,0.975308641975309,0
"65",0.4,6.4,2,0,0,0,-0.018019334,0,1.07,0,172,2,5,"0","0.011494253","0",0.4942528735,0.5,0.98005698005698,0
"66",1.6,1.6,5,0,0,0,-0.027777778,0,1.14,0,175,5,5,"0","0.027777778","0",0.486111111,0.5,0.972222222222222,0
"67",0.8,6.8,3,0,0,0,-0.021637116,0,1.06,0,175,3,5,"0","0.016853933","0",0.4915730335,0.5,0.977653631284916,0
"68",0.6,9.6,2,0,0,0,-0.020602141,0,1.04,0,150,2,5,"0","0.013157895","0",0.4934210525,0.5,0.977198697068404,0
