"","outer_sum_original","outer_sum_radiusPenalty","seeds_no","f1","prec","rec","mcc","det_rate","time_vector","TP","TN","FP","FN","TPR","FPR","Prec..PPV.","aucroc","aucpr","negf1","AR"
"1",1,1,5,0.4,0.4,0.4,0.275,0.4,0.08,2,21,3,3,0.4,0.125,0.4,0.6375,0.5,0.875,0.549019607843137
"2",0,8,1,0.333333333,1,0.2,0.402373908,0.2,0.08,1,17,0,4,0.2,0,1,0.6,0.9,0.894736842105263,0.485714285360408
"3",0.4,4.4,3,0.25,0.333333333,0.2,0.17221168,0.2,0.09,1,30,2,4,0.2,0.0625,0.333333333,0.56875,0.5666666665,0.909090909090909,0.392156862745098
"4",0.2,12.2,1,0,0,0,-0.118345267,0,0.1,0,16,1,5,0,0.058823529,0,0.4705882355,0.5,0.842105263157895,0
"5",0.2,6.2,3,0.5,0.666666667,0.4,0.426561704,0.4,0.1,2,18,1,3,0.4,0.052631579,0.666666667,0.6736842105,0.6333333335,0.9,0.642857142857143
"6",0.4,4.4,3,0.25,0.333333333,0.2,0.091287093,0.2,0.11,1,14,2,4,0.2,0.125,0.333333333,0.5375,0.5666666665,0.823529411764706,0.383561643835616
"7",0.4,2.4,4,0.444444444,0.5,0.4,0.288675135,0.4,0.11,2,13,2,3,0.4,0.133333333,0.5,0.6333333335,0.55,0.838709677419355,0.581005586212415
"8",0,9,2,0.571428571,1,0.4,0.585540044,0.4,0.11,2,18,0,3,0.4,0,1,0.7,0.8,0.923076923076923,0.705882352614187
"9",0.4,4.4,3,0.25,0.333333333,0.2,0.11633501,0.2,0.09,1,17,2,4,0.2,0.105263158,0.333333333,0.547368421,0.5666666665,0.85,0.386363636363636
"10",0.2,2.2,4,0.666666667,0.75,0.6,0.583000605,0.6,0.09,3,15,1,2,0.6,0.0625,0.75,0.76875,0.575,0.909090909090909,0.769230769452663
"11",0,8,1,0.333333333,1,0.2,0.414039336,0.2,0.08,1,24,0,4,0.2,0,1,0.6,0.9,0.923076923076923,0.489795918007497
"12",0,6,2,0.571428571,1,0.4,0.603908836,0.4,0.1,2,31,0,3,0.4,0,1,0.7,0.8,0.953846153846154,0.71469740600485
"13",0.2,4.2,3,0.5,0.666666667,0.4,0.404226042,0.4,0.1,2,14,1,3,0.4,0.066666667,0.666666667,0.6666666665,0.6333333335,0.875,0.636363636363636
"14",0.6,2.6,4,0.444444444,0.5,0.4,0.306785996,0.4,0.09,2,15,2,3,0.4,0.117647059,0.5,0.6411764705,0.55,0.857142857142857,0.585365853273052
"15",0,8,1,0.333333333,1,0.2,0.406469422,0.2,0.11,1,19,0,4,0.2,0,1,0.6,0.9,0.904761904761905,0.487179486823471
"16",1.2,3.2,4,0.222222222,0.25,0.2,0.082158384,0.2,0.1,1,21,3,4,0.2,0.125,0.25,0.5375,0.525,0.857142857142857,0.352941176190311
"17",0,4,3,0.75,1,0.6,0.727606875,0.6,0.11,3,15,0,2,0.6,0,1,0.8,0.7,0.9375,0.833333333333333
"18",0.6,4.6,3,0.25,0.333333333,0.2,0.123091491,0.2,0.14,1,18,2,4,0.2,0.1,0.333333333,0.55,0.5666666665,0.857142857142857,0.387096774193548
"19",0.2,6.2,3,0.5,0.666666667,0.4,0.410791918,0.4,0.11,2,15,1,3,0.4,0.0625,0.666666667,0.66875,0.6333333335,0.882352941176471,0.638297872340426
"20",0,6,2,0.571428571,1,0.4,0.587753814,0.4,0.08,2,19,0,3,0.4,0,1,0.7,0.8,0.926829268292683,0.706976743858042
"21",0.6,0.6,5,0.4,0.4,0.4,0.2125,0.4,0.09,2,13,3,3,0.4,0.1875,0.4,0.60625,0.5,0.8125,0.536082474226804
"22",0,4,3,0.75,1,0.6,0.736788398,0.6,0.1,3,19,0,2,0.6,0,1,0.8,0.7,0.95,0.838235294117647
"23",0.6,2.6,4,0.222222222,0.25,0.2,0.0255655,0.2,0.08,1,14,3,4,0.2,0.176470588,0.25,0.511764706,0.525,0.8,0.34782608668431
"24",0.2,2.2,4,0.666666667,0.75,0.6,0.592472271,0.6,0.09,3,17,1,2,0.6,0.055555556,0.75,0.772222222,0.575,0.918918918918919,0.772727272951188
"25",0.2,4.2,3,0.5,0.666666667,0.4,0.416630545,0.4,0.11,2,16,1,3,0.4,0.058823529,0.666666667,0.6705882355,0.6333333335,0.888888888888889,0.64
"26",0.4,2.4,6,0.545454545,0.5,0.6,0.38890873,0.6,0.09,3,13,3,2,0.6,0.1875,0.5,0.70625,0.45,0.838709677419355,0.661016948818766
"27",0.2,6.2,3,0.5,0.666666667,0.4,0.44147316,0.4,0.09,2,22,1,3,0.4,0.043478261,0.666666667,0.6782608695,0.6333333335,0.916666666666667,0.647058823529412
"28",0.4,4.4,3,0.25,0.333333333,0.2,0.091287093,0.2,0.08,1,14,2,4,0.2,0.125,0.333333333,0.5375,0.5666666665,0.823529411764706,0.383561643835616
"29",0.4,4.4,3,0.25,0.333333333,0.2,0.134839972,0.2,0.11,1,20,2,4,0.2,0.090909091,0.333333333,0.5545454545,0.5666666665,0.869565217391304,0.388349514563107
"30",0.4,4.4,3,0.25,0.333333333,0.2,0.108866211,0.2,0.11,1,16,2,4,0.2,0.111111111,0.333333333,0.5444444445,0.5666666665,0.842105263157895,0.385542168674699
"31",0,4,3,0.75,1,0.6,0.749193114,0.6,0.09,3,29,0,2,0.6,0,1,0.8,0.7,0.966666666666667,0.844660194174757
"32",0.2,8.2,1,0,0,0,-0.102062073,0,0.11,0,19,1,5,0,0.05,0,0.475,0.5,0.863636363636364,0
"33",0.8,4.8,3,0,0,0,-0.143542313,0,0.09,0,23,3,5,0,0.115384615,0,0.4423076925,0.5,0.851851851851852,0
"34",0.8,0.8,5,0.6,0.6,0.6,0.5,0.6,0.08,3,18,2,2,0.6,0.1,0.6,0.75,0.5,0.9,0.72
"35",0,2,4,0.888888889,1,0.8,0.871779789,0.8,0.07,4,19,0,1,0.8,0,1,0.9,0.6,0.974358974358974,0.92966360862346
"36",0.2,8.2,1,0,0,0,-0.072281812,0,0.1,0,28,1,5,0,0.034482759,0,0.4827586205,0.5,0.903225806451613,0
"37",0.2,2.2,4,0.666666667,0.75,0.6,0.577350269,0.6,0.1,3,14,1,2,0.6,0.066666667,0.75,0.7666666665,0.575,0.903225806451613,0.767123287891912
"38",0.2,4.2,3,0.5,0.666666667,0.4,0.410791918,0.4,0.08,2,15,1,3,0.4,0.0625,0.666666667,0.66875,0.6333333335,0.882352941176471,0.638297872340426
"39",1.2,3.2,4,0,0,0,-0.168789895,0,0.08,0,22,4,5,0,0.153846154,0,0.423076923,0.5,0.830188679245283,0
